,ps,link,lig,gen
0,5,4,6277,0
1,6,4,1605,0
2,1,6,6726,0
3,4,1,4953,0
4,1,6,3586,0
5,6,0,6318,0
6,2,3,3121,0
7,2,3,5330,0
8,0,2,1716,0
9,4,4,1643,0
10,0,1,7524,0
11,2,1,7469,0
12,4,6,1406,0
13,6,0,7680,0
14,6,2,6471,0
15,6,2,2420,0
16,0,6,8788,0
17,3,3,6956,0
18,5,6,3260,0
19,3,3,4903,0
20,1,2,3748,0
21,5,3,1824,0
22,1,4,4652,0
23,4,5,287,0
24,1,5,8419,0
25,0,0,6709,0
26,0,2,2899,0
27,2,2,1537,0
28,4,2,8357,0
29,2,4,6734,0
30,1,1,3444,0
31,4,2,1995,0
32,1,4,2899,0
33,3,4,1388,0
34,6,6,6135,0
35,2,1,625,0
36,0,3,6988,0
37,5,1,980,0
38,0,1,3192,0
39,1,2,2404,0
40,1,3,8498,0
41,4,4,1976,0
42,3,4,2785,0
43,2,3,4411,0
44,1,0,9135,0
45,5,5,5958,0
46,4,6,9005,0
47,4,4,5206,0
48,2,6,1001,0
49,5,4,7710,0
0,0,2,2040,99
1,0,2,2040,99
2,6,2,2040,99
3,0,0,2040,99
4,0,2,523,99
5,0,1,2040,99
6,0,1,2040,99
7,0,3,4537,99
8,0,3,4537,99
9,2,2,2040,99
10,3,3,7732,99
11,3,3,7732,99
12,0,2,6474,99
13,3,3,2040,99
14,3,3,2040,99
15,0,3,523,99
16,5,2,2040,99
17,1,2,2040,99
18,2,2,6474,99
19,0,5,2040,99
20,2,0,2040,99
21,0,3,2040,99
22,5,3,2040,99
23,6,4,2040,99
24,4,2,2040,99
25,1,3,2040,99
26,5,5,2040,99
27,0,0,4537,99
28,1,2,4640,99
29,4,3,4537,99
30,5,2,6699,99
31,0,3,6214,99
32,5,3,8994,99
33,0,4,7218,99
34,0,4,5253,99
35,4,3,1981,99
36,6,4,8259,99
37,2,3,7732,99
38,0,1,1020,99
39,0,4,7392,99
40,0,3,3692,99
41,5,2,4943,99
42,2,4,6474,99
43,0,5,6214,99
44,2,0,5934,99
45,2,4,183,99
46,3,3,3292,99
47,3,2,3685,99
48,0,3,4732,99
49,0,3,4298,99
