gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.116,1_2_52 5_3_245 1_0_34 0_3_281 2_6_391 0_1_266 4_2_141 6_1_54 2_1_13 2_6_139 1_1_158 2_5_374 6_6_190 0_6_310 2_5_198 4_1_91 1_3_143 0_6_280 6_2_3 2_4_360 4_1_211 3_4_147 3_3_82 1_2_132 6_6_22 5_2_265 4_5_241 5_2_74 5_1_34 3_1_325 5_3_141 1_2_223 5_4_164 5_4_101 2_0_31 5_1_142 6_4_315 6_1_62 2_1_148 3_0_21 2_5_42 2_5_345 2_0_165 2_2_78 6_6_317 5_6_39 2_4_98 6_5_413 0_0_236 6_5_210,-13.14,-12.786666666666665,-12.315
1,-10.907222222222224,5_5_34 0_5_3 5_5_198 0_3_281 2_6_86 1_2_31 0_2_62 5_2_3 3_3_310 2_5_42 2_3_98 0_0_21 5_1_315 0_4_284 6_2_400 2_3_204 6_3_190 0_1_62 6_6_22 4_5_241 1_6_48 4_5_205 0_3_266 2_5_84 5_1_223 5_2_74 0_6_310 0_5_141 2_4_98 5_4_164 6_4_3 1_2_315 0_2_40 0_1_1 2_1_13 6_1_23 1_2_52 5_1_34 1_0_34 1_2_223 6_1_54 6_2_3 4_2_141 2_2_78 6_1_62 5_1_142 6_2_114 ERROR_6_6_413 6_5_164 2_5_116 5_2_91 6_2_315 2_6_198 5_6_272 2_2_31 ERROR_5_5_338 1_2_187 4_5_190 5_6_22 6_4_177,-13.613333333333333,-13.276666666666666,-12.898333333333335
2,-11.734444444444444,6_2_315 0_2_78 1_0_141 5_1_3 0_6_165 6_3_398 1_5_34 6_6_220 1_2_106 5_4_96 6_2_243 2_6_315 6_3_190 5_1_329 6_1_21 2_2_1 5_1_1 2_2_94 2_2_78 1_0_18 2_1_281 1_3_223 1_1_34 1_2_3 1_2_312 6_2_146 6_2_245 0_3_45 4_2_132 4_2_198 5_2_23 1_3_34 5_2_100 0_3_1 2_1_190 0_2_40 1_2_52 5_1_34 1_0_34 3_3_310 0_1_1 0_2_62 1_2_315 5_2_3 1_2_223 1_4_34 ERROR_3_2_381 1_1_307 3_1_281 2_1_73 6_5_3 1_5_125 1_1_13 6_6_124 1_2_84 6_0_258 5_1_151 6_4_54 6_5_258 2_1_105,-13.833333333333334,-13.513333333333332,-13.228333333333333
3,-12.112994350282488,1_2_1 1_2_18 0_2_208 1_2_223 6_4_398 6_2_100 6_2_34 1_4_138 3_1_141 1_1_23 1_1_84 6_2_243 5_4_73 1_2_212 0_4_45 1_6_106 1_2_243 1_0_84 3_1_34 6_5_84 1_6_34 5_1_18 1_1_101 4_2_121 1_1_223 3_3_398 5_3_249 1_5_45 0_1_1 4_2_141 5_0_100 1_2_84 2_2_94 5_1_1 5_2_3 2_1_94 1_2_34 3_2_112 1_2_62 1_2_180 0_2_40 6_3_398 1_2_52 0_3_45 5_1_34 0_2_78 1_3_223 1_0_34 3_3_310 ERROR_0_1_414 1_0_372 1_1_281 1_1_100 2_0_94 3_6_248 6_1_3 1_1_190 6_2_258 2_0_73,-13.939999999999998,-13.653333333333332,-13.363333333333333
4,-11.815555555555557,3_0_100 5_3_353 4_1_34 4_2_67 5_5_192 5_3_22 1_2_233 1_3_95 5_5_393 1_4_160 0_1_45 0_1_78 6_2_390 1_5_369 0_0_372 6_3_310 1_1_372 1_2_121 1_5_398 0_2_1 2_1_94 5_3_123 5_2_34 1_3_223 5_3_73 1_6_411 0_5_45 5_2_398 6_3_17 0_2_3 1_1_223 0_2_100 1_2_138 3_3_84 1_1_106 1_5_249 0_1_58 2_0_100 2_2_94 0_2_40 6_3_398 3_3_398 6_2_34 1_2_52 1_2_34 0_3_45 0_2_208 5_1_34 0_2_78 6_0_100 6_2_351 1_5_223 1_0_168 1_6_18 1_4_100 6_2_185 5_0_249 2_0_357 ERROR_2_4_412 6_2_310,-13.959999999999999,-13.719999999999999,-13.475
5,-12.20225988700565,1_1_30 6_2_246 2_4_390 4_2_52 6_3_34 0_2_78 2_0_100 0_5_152 1_2_34 1_6_398 0_3_43 0_1_398 6_1_95 5_2_52 5_1_194 5_2_106 6_2_121 0_1_45 1_3_34 1_4_160 1_2_230 5_0_226 3_3_84 0_0_205 6_3_110 0_1_78 1_2_45 1_2_180 5_2_398 1_0_34 2_3_123 5_0_34 1_3_208 1_2_93 1_3_201 5_3_34 6_1_34 5_6_28 3_3_106 1_2_288 0_2_40 6_3_398 3_3_398 6_2_34 0_2_3 1_1_372 1_2_52 0_3_45 5_2_34 0_1_94 1_4_45 0_5_130 2_2_100 6_0_390 5_6_97 2_3_100 3_0_34 1_1_342 3_0_3,-14.053333333333333,-13.816666666666666,-13.59
6,-12.269590643274855,6_3_398 6_1_78 0_1_95 1_2_288 2_3_398 4_3_398 0_1_45 5_2_398 1_1_348 1_2_398 6_3_34 1_0_106 6_3_100 3_3_106 6_2_34 0_0_194 2_3_73 3_3_398 1_0_34 1_0_3 1_2_321 1_0_40 0_2_288 1_4_112 1_2_34 0_6_398 6_2_172 1_0_398 6_2_202 4_0_106 3_2_82 6_3_2 6_2_382 1_2_40 0_2_10 5_3_110 0_0_288 0_0_3 1_3_208 4_5_34 5_3_43 3_2_288 0_3_43 0_2_40 0_1_398 5_2_106 0_2_3 5_2_52 6_1_34 1_1_372 1_2_118 6_1_395 6_0_43 6_3_95 6_1_100 0_2_342 2_5_100,-14.126666666666665,-13.876666666666665,-13.620000000000001
7,-12.11812865497076,6_2_34 0_1_45 2_3_106 0_1_195 2_2_34 1_3_398 4_1_398 4_3_398 1_1_398 6_3_139 0_3_10 0_2_398 1_0_34 1_1_95 1_2_342 6_1_360 1_0_40 6_2_40 0_0_34 1_4_275 2_3_398 6_3_172 4_3_40 3_4_52 6_2_3 1_2_34 1_0_239 0_2_40 2_1_127 2_5_388 0_2_3 0_6_34 0_5_341 1_2_159 1_3_27 6_3_400 6_0_34 5_5_11 3_4_398 3_3_34 6_2_52 2_0_106 6_0_40 5_3_106 0_2_10 6_3_398 0_1_398 5_2_106 3_3_398 6_2_172 5_2_52 1_5_266 5_2_159 5_1_52 4_1_395 ERROR_1_0_347 1_0_267,-14.166666666666666,-13.943333333333333,-13.695000000000002
8,-12.41543209876543,1_0_34 5_2_265 0_2_10 2_2_247 0_2_398 6_3_106 6_2_172 2_3_106 0_0_34 0_3_284 3_6_398 6_0_27 0_6_106 6_1_398 2_1_45 0_3_40 2_0_398 5_2_172 0_0_398 3_3_398 3_2_344 4_3_78 0_0_299 6_0_34 5_1_40 6_2_40 4_5_249 5_4_172 1_1_172 0_2_34 5_2_398 3_3_30 1_2_27 0_4_241 2_3_127 4_5_45 5_3_40 0_1_398 3_0_40 3_2_105 3_1_278 6_5_45 1_0_278 0_2_52 0_3_10 5_2_164 0_2_40 6_3_398 4_1_398 5_2_106 6_6_52 6_5_52 2_0_93 3_1_310,-14.86,-14.4,-13.975
9,-12.161403508771931,0_0_398 4_2_106 2_3_398 2_0_398 5_0_398 6_6_106 0_0_10 2_2_328 0_2_351 0_3_89 0_0_106 3_3_398 6_3_398 6_0_238 0_2_172 0_2_398 0_3_398 3_1_278 1_3_172 1_3_52 0_1_34 3_3_40 6_2_110 2_4_284 0_2_10 0_6_106 0_6_398 1_2_27 0_2_189 4_0_40 6_4_309 6_3_409 6_3_106 5_3_137 4_3_398 0_2_140 0_2_106 6_0_34 1_5_40 2_1_398 3_2_40 4_2_140 0_2_276 0_3_40 5_3_40 0_2_40 0_2_34 0_2_52 0_1_398 6_2_40 ERROR_0_3_381 ERROR_6_0_384 2_4_165 3_1_89 1_0_178 4_2_278 6_1_68,-14.973333333333334,-14.483333333333334,-14.035000000000002
