gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.768666666666666,1_5_3281 3_5_7316 6_3_5247 4_4_5525 5_0_2029 5_2_8712 5_4_4934 1_1_2894 5_0_3455 2_0_2066 5_6_637 1_1_7863 3_4_5593 4_0_1243 4_3_8167 0_6_2005 4_1_1748 4_0_1133 1_3_7865 5_1_2990 4_1_4764 6_2_1951 4_5_919 2_3_2515 2_0_8269 6_3_9425 5_2_4527 2_2_2210 1_6_7192 0_5_5851 4_6_3720 1_4_5684 4_5_1926 0_2_2931 6_0_4610 1_5_4117 3_4_1543 3_6_8018 5_3_1442 6_5_5148 6_2_1919 0_3_7817 3_0_9247 4_3_4039 0_3_3291 2_6_569 1_0_1144 5_2_2933 2_1_703 2_0_6233,-13.253333333333334,-12.739999999999998,-12.139999999999997
1,-10.682485875706213,0_5_8740 2_1_703 2_3_2515 4_1_1748 5_6_637 6_2_1951 3_5_3281 5_1_2990 5_2_4527 5_2_2933 4_1_4764 4_3_8167 6_2_1919 1_5_3281 5_0_2029 4_3_4039 5_4_5525 1_0_1133 2_5_7914 4_3_2515 5_6_5652 4_1_2990 5_0_5165 5_4_2210 5_6_4934 3_0_7316 0_6_5367 0_0_7189 5_3_2029 4_3_1774 3_3_8167 0_3_2280 3_2_8289 2_6_637 2_6_1951 0_2_1748 1_0_4610 2_3_8167 4_2_2931 6_4_8054 5_1_1133 6_3_2515 5_5_2005 5_5_1926 0_0_9247 2_0_3455 5_0_8269 4_3_7817 2_2_1457 2_6_8969 5_0_1863 6_1_1951 0_3_8466 0_0_6233 5_2_1394 4_6_1748 6_6_6094 3_2_5525 5_5_2312,-13.306666666666667,-12.920000000000002,-12.455
2,-11.576969696969698,2_3_2515 0_3_2280 4_3_2515 2_3_8167 5_5_3281 4_3_8167 0_0_6233 1_3_3281 4_1_4764 1_5_2005 3_0_7316 5_1_2990 5_2_4527 5_2_2933 6_3_2515 6_2_1919 3_3_1133 4_2_7579 5_0_2906 5_3_2515 2_1_1788 4_2_8289 4_1_4039 4_0_3007 2_0_705 4_0_5165 4_5_7316 4_2_1350 4_0_7316 6_4_7316 4_4_2931 2_4_2933 4_6_8969 2_6_1104 2_5_8167 4_1_2515 1_2_1394 4_3_6350 6_3_1488 2_4_703 3_2_8167 1_3_8167 2_0_1133 5_1_8272 2_3_3670 5_0_7316 6_4_6780 4_3_2931 6_3_1951 0_2_9048 4_3_8969 5_6_3933 0_5_1023 3_4_1133 2_0_7895,-13.739999999999998,-13.303333333333333,-12.886666666666667
3,-11.667816091954023,4_3_2515 1_2_1394 5_3_2515 6_2_1919 3_0_7316 1_3_3281 4_2_7579 2_1_1788 4_2_8289 5_1_2861 0_2_9048 5_1_2990 5_2_4527 5_2_2933 6_3_2515 4_3_6350 4_1_4764 2_3_2515 2_2_4764 2_2_3176 1_2_4527 4_6_2874 4_1_1350 4_0_5928 1_3_2515 2_1_4764 5_3_4527 4_4_1680 4_0_1788 4_3_8289 0_0_8167 6_1_2515 6_3_6350 0_3_6233 0_3_3811 5_1_4527 1_3_8289 6_3_4764 4_3_4764 5_0_2515 0_4_4527 2_2_1350 5_5_7316 2_1_8167 5_3_6215 3_3_2515 2_2_6081 3_3_5133 1_1_5691 4_6_9454 1_3_3822 2_3_1350 6_1_8272 2_3_1919 4_1_5708 4_1_7780 2_3_4842 2_2_5395,-13.739999999999998,-13.493333333333334,-13.128333333333334
4,-11.658045977011495,5_2_2733 6_1_6611 4_3_2515 5_1_4527 4_3_4764 4_1_7780 2_1_4764 1_3_3281 0_2_9048 5_1_2990 5_2_4527 5_2_2933 1_3_2515 1_2_4527 0_0_8167 5_3_4527 1_2_8412 5_2_3721 1_3_5845 3_2_2515 2_5_2515 3_2_4764 5_2_5544 0_3_2867 6_0_3535 5_4_2515 4_4_4527 2_6_5708 0_6_9048 0_6_4717 4_1_5417 2_2_6350 0_2_8167 1_3_6350 6_0_8167 6_3_4527 6_1_2858 2_1_307 0_5_4764 1_1_5142 0_2_3405 5_5_5598 1_5_6923 6_2_2515 4_2_2933 0_6_1919 3_4_7316 5_0_5482 6_2_8272 4_2_6864 5_2_9048 3_1_6350 5_2_1160 6_3_4241 1_1_6750 3_1_8272 2_2_3986 5_1_2933,-13.886666666666667,-13.66,-13.4
5,-12.142857142857142,5_3_4527 1_2_3281 1_3_6350 1_3_5845 5_1_4527 1_3_3281 4_2_2933 3_1_6350 5_3_3281 1_2_4527 5_0_3281 5_2_9048 1_3_2515 0_2_9048 5_1_2990 5_2_4527 1_2_8412 5_2_2933 5_1_2933 3_1_2858 4_2_2515 3_1_2933 5_6_4527 3_1_725 4_1_5142 1_3_8976 6_2_4527 1_3_4527 6_3_8937 4_5_6936 6_1_5142 0_1_6350 4_6_4527 3_1_8673 6_1_8316 3_2_5663 5_3_8946 2_2_2933 0_2_7897 2_1_2933 4_6_6350 1_4_7780 2_5_1817 6_3_4624 5_4_4527 6_4_4527 6_1_1291 4_3_1694 2_5_6350 4_1_3169 2_1_6350 5_3_2933 0_2_4156 4_2_9048 4_1_6350 4_5_3071,-14.213333333333333,-13.913333333333332,-13.596666666666664
6,-12.178735632183908,6_1_64 5_3_4527 5_1_2933 2_1_2933 5_6_3281 5_4_4527 4_2_2933 4_3_1694 1_3_2515 6_1_2515 1_3_3281 1_3_4527 6_3_8937 0_2_3281 4_0_3281 5_1_4527 0_1_1960 6_2_4527 5_0_2515 3_1_6350 1_2_3281 5_3_3281 0_2_9048 5_1_2990 5_2_4527 0_2_4156 1_3_6350 1_2_8412 5_2_3167 6_3_6075 6_2_5981 2_4_6932 4_0_7418 2_0_2933 4_1_4527 1_4_7040 1_3_6990 5_3_562 1_0_2515 1_3_8857 4_2_2309 1_2_7897 2_3_5845 0_1_5142 3_2_5660 1_2_4156 2_1_3169 4_0_2933 1_2_2515 1_2_6550 1_2_2933 4_1_4614 4_3_8937 2_1_2195 1_4_5122 6_1_4825 3_3_5845 3_1_5243,-14.653333333333332,-14.26666666666667,-13.893333333333334
7,-12.634502923976607,1_2_3281 5_2_369 1_3_6350 5_1_3281 1_3_4527 5_3_4527 1_3_2515 4_4_3281 1_2_4527 6_3_8937 5_4_3281 4_2_2933 5_1_2933 1_3_3281 1_2_7897 6_3_3281 0_4_4527 4_2_3942 4_1_3281 5_3_2933 4_3_3281 5_6_3281 0_2_3281 6_3_6075 5_3_3281 1_2_2933 0_2_9048 5_1_2990 4_0_3281 1_2_2706 1_3_4255 3_1_588 1_3_466 1_3_3169 6_2_2933 2_3_2309 3_0_2515 2_1_2515 4_4_3815 4_2_8865 2_3_4527 1_3_4587 0_3_1960 6_1_3334 1_2_6350 3_1_3312 2_3_3169 0_2_1121 4_3_5219 4_1_2933 5_2_562 3_1_2515 0_3_2515 4_3_2933 2_2_9397 0_0_2933 5_0_562,-14.820000000000002,-14.503333333333336,-14.046666666666667
8,-12.67202380952381,4_3_2933 2_5_3281 4_5_3281 1_5_3281 6_0_3281 1_3_4527 4_1_3281 1_2_6350 0_0_3281 2_4_3281 4_4_3281 4_3_2515 4_2_3281 5_0_3281 4_0_3281 6_3_6075 1_2_4527 0_3_3281 4_2_2933 6_4_3281 5_2_3281 5_4_3281 5_1_3281 0_2_3281 1_2_3281 5_3_3281 6_3_3281 1_2_2933 1_3_3281 5_1_1648 1_5_2933 3_2_2933 4_2_237 5_3_6950 0_0_9272 6_1_6538 0_0_4527 1_2_1121 0_4_2933 0_2_3169 6_1_9354 4_3_8660 6_1_2933 6_3_888 0_3_2933 5_2_1563 3_6_2933 5_6_2933 0_3_3617 1_4_2515 0_4_3169 0_2_7919 4_4_3211 5_3_6509 2_2_5050 5_3_5003,-15.10666666666667,-14.783333333333335,-14.370000000000001
9,-12.347878787878788,3_2_3281 0_1_3281 6_5_3281 6_2_2933 6_3_3281 1_4_2515 4_1_3281 4_6_3281 1_3_3281 5_5_3281 2_5_3281 4_3_2515 4_2_2933 4_3_3281 5_1_3281 3_3_3281 6_1_2933 2_0_3281 4_2_3281 6_2_4527 0_3_3281 5_2_3281 1_3_4527 2_2_5050 5_4_3281 4_5_3281 0_0_4527 0_2_3281 0_0_3281 1_2_3281 6_3_6075 5_3_3281 1_0_4527 4_5_2933 4_4_3617 6_2_2223 0_0_8141 4_0_4527 0_2_2014 6_2_2416 1_2_1971 1_2_8309 0_0_8079 2_2_7294 1_3_9561 6_0_3402 0_2_1755 0_0_6142 0_3_4981 1_3_6075 2_2_4247 3_0_7998 5_3_8202 1_2_4155 4_3_7471,-15.24,-14.933333333333334,-14.453333333333337
