gen,mean_score,compound,best_5_score,best_10_score,best_20_score
10,-12.574269005847954,3_3_280 1_2_411 1_1_40 1_3_339 2_3_93 0_1_328 0_1_40 2_0_34 0_4_93 2_0_295 4_3_284 0_5_405 6_1_166 2_3_295 2_3_328 3_5_295 2_2_405 1_3_106 0_2_40 1_2_40 1_1_156 2_1_295 4_4_89 0_2_284 5_3_175 0_2_152 6_0_93 0_1_108 4_2_295 0_3_284 4_5_295 2_2_40 1_1_80 0_3_34 3_2_40 5_3_40 6_2_40 0_3_304 1_5_164 3_3_40 0_3_40 6_3_40 0_2_295 1_3_40 0_2_34 0_1_405 0_2_45 4_2_45 0_2_197 2_0_328 0_4_276 0_6_284 2_2_220 2_2_280 3_4_295 0_1_229 2_2_296,-15.080000000000002,-14.773333333333335,-14.180000000000001
11,-11.747126436781608,3_1_134 0_2_295 4_2_295 3_3_29 6_1_40 1_5_40 6_3_40 0_1_45 2_5_40 1_2_284 1_3_339 2_0_40 2_2_40 5_2_40 0_6_40 5_1_40 2_1_45 6_2_284 2_1_97 0_6_319 0_2_328 5_4_295 4_1_284 0_3_295 4_2_40 3_1_40 5_3_166 5_3_284 1_3_382 0_0_40 1_1_40 1_6_360 5_0_40 0_1_295 5_2_175 0_1_106 0_3_40 5_3_40 0_2_40 1_3_40 0_2_34 0_1_40 0_1_405 0_2_45 5_6_45 2_1_183 1_2_229 0_0_297 5_0_45 4_5_80 3_1_228 2_1_137 3_0_359 ERROR_3_2_343 1_4_35 ERROR_1_2_384 2_3_68 2_0_80,-15.220000000000002,-14.903333333333336,-14.290000000000001
12,-12.448538011695907,0_4_40 2_2_383 6_0_166 5_2_158 0_0_10 0_2_295 1_3_40 5_0_40 5_5_80 0_3_45 3_0_40 1_0_40 6_1_172 6_1_44 0_3_297 1_1_284 6_6_40 0_5_34 0_1_328 0_2_99 0_2_106 0_2_166 6_1_1 1_2_40 0_2_60 0_0_40 3_2_45 0_2_225 0_2_328 2_5_40 0_5_157 0_1_40 2_1_372 4_3_185 5_1_295 0_0_49 6_2_353 5_2_175 6_1_229 5_3_166 0_2_3 0_3_40 0_3_295 6_3_40 5_3_40 0_2_40 0_2_34 0_1_106 2_5_137 0_5_135 6_5_404 2_5_79 5_4_328 4_1_328 2_1_122 4_2_5 4_2_68,-15.220000000000002,-14.903333333333336,-14.254999999999999
13,-12.166071428571428,3_5_40 0_2_106 5_0_40 5_6_291 3_2_225 2_5_295 3_2_166 6_2_1 0_3_89 6_0_225 2_5_106 4_2_295 0_3_40 1_2_10 6_3_45 0_5_31 3_4_1 0_2_40 4_2_106 1_3_168 5_3_106 5_0_277 6_3_44 4_2_172 0_2_79 2_1_197 6_2_99 0_2_187 4_1_161 0_0_295 5_4_197 5_1_106 0_2_60 0_1_40 4_3_295 2_1_45 4_1_108 5_6_40 0_1_288 0_2_212 5_3_40 0_3_295 6_3_40 0_2_295 1_3_40 0_2_34 0_1_106 5_2_274 3_1_372 6_2_205 2_2_166 4_2_147 2_5_259 5_2_257 ERROR_5_1_414 2_5_239,-15.220000000000002,-14.910000000000002,-14.110000000000003
14,-12.335714285714287,4_0_108 0_1_288 0_2_212 2_3_40 1_2_40 3_3_295 0_3_197 3_2_380 5_1_40 6_2_45 4_1_172 0_2_40 0_2_295 6_5_168 6_6_40 5_2_96 0_2_168 3_4_295 2_0_106 6_5_184 0_1_40 0_2_268 5_3_129 2_3_295 3_3_40 3_4_288 4_2_147 0_2_57 4_2_172 4_0_181 2_1_108 0_1_303 5_0_257 1_2_205 0_6_212 6_5_295 2_1_106 6_2_40 0_5_117 0_3_40 0_3_295 6_3_40 5_3_40 1_3_40 0_2_34 3_3_45 5_2_172 5_3_131 4_5_45 0_1_89 3_0_283 4_0_172 1_4_361 2_0_79 4_5_147 5_0_259,-15.220000000000002,-14.910000000000002,-14.235000000000003
15,-11.968452380952382,0_3_40 5_4_34 3_1_268 6_2_7 0_2_289 1_3_212 0_4_40 0_1_127 5_2_295 4_2_172 0_4_34 2_2_106 2_2_212 0_1_40 3_3_295 6_2_45 2_6_23 0_2_168 1_4_361 1_2_312 3_3_172 0_2_40 5_2_172 0_6_268 2_3_195 2_3_40 0_1_272 6_1_40 0_2_34 0_2_268 0_3_212 5_1_40 2_3_106 3_2_45 1_4_295 3_2_55 0_4_361 3_3_40 2_6_40 5_1_355 3_3_45 6_5_40 0_3_295 6_3_40 5_3_40 0_2_295 1_3_40 0_2_212 3_6_45 ERROR_3_1_412 6_5_370 3_5_69 6_5_304 2_1_268 2_2_80 ERROR_0_2_236,-15.220000000000002,-14.910000000000002,-14.255
16,-12.101724137931036,1_5_40 2_3_127 5_2_40 6_6_34 0_4_40 0_0_268 0_2_295 0_3_24 2_6_22 1_3_40 5_0_40 2_3_106 3_2_40 6_5_40 0_4_10 1_2_212 5_1_212 3_1_45 0_3_362 2_2_172 1_1_40 0_6_268 6_2_40 5_4_295 1_2_106 1_4_40 2_2_40 0_3_195 0_2_268 6_2_295 0_3_34 0_2_172 0_3_106 1_2_295 6_6_40 3_5_295 3_2_142 0_0_203 1_2_312 0_3_40 0_3_295 6_3_40 5_3_40 0_2_40 0_2_34 0_1_40 0_2_212 ERROR_0_1_354 4_2_7 0_5_195 6_2_227 3_4_116 3_6_34 3_2_312 1_6_355 1_1_240 3_4_23 5_2_86,-15.226666666666668,-14.973333333333333,-14.291666666666666
17,-12.763793103448277,1_3_295 6_3_295 0_0_40 5_1_295 3_1_40 0_2_40 3_2_40 0_0_268 6_0_45 1_3_362 3_4_40 0_3_24 0_0_182 2_2_389 6_0_40 0_2_312 2_2_40 2_0_106 6_5_24 0_3_108 4_3_59 2_3_127 6_5_40 5_5_67 1_3_172 2_2_295 3_4_116 1_2_40 3_3_40 0_3_311 3_0_59 0_4_40 5_2_312 6_3_34 3_4_10 5_4_40 5_3_106 0_3_60 3_6_95 2_2_127 6_2_295 6_4_40 0_3_106 2_4_116 0_0_106 3_1_127 6_2_40 0_3_127 0_3_40 0_3_295 6_3_40 5_3_40 0_2_295 1_3_40 0_2_34 0_1_40 0_0_162 0_0_152,-15.419999999999998,-15.143333333333334,-14.459999999999999
18,-12.141071428571431,5_1_295 4_2_40 3_2_389 1_1_40 4_6_312 0_2_40 0_4_73 0_0_138 3_0_33 2_3_144 2_1_40 6_2_295 0_3_60 1_3_127 0_6_295 2_3_127 1_4_40 6_2_106 6_3_312 6_3_24 6_2_127 0_3_34 5_1_40 3_4_40 1_3_40 0_2_312 6_2_34 5_2_40 0_3_106 4_2_106 0_0_106 2_4_295 4_6_106 6_2_40 0_3_388 0_3_295 1_2_61 0_0_10 5_3_34 6_6_40 5_1_286 2_2_389 5_6_74 0_2_108 0_3_108 0_3_40 1_3_295 6_3_40 5_3_40 0_2_295 6_3_33 5_3_313 4_0_10 2_6_285 ERROR_0_1_314 2_4_388,-15.419999999999998,-15.143333333333334,-14.479999999999999
19,-12.24093567251462,3_1_389 4_3_40 3_0_33 6_0_10 5_1_108 5_4_108 5_2_15 3_6_389 6_5_181 0_4_40 6_4_40 1_4_222 0_2_40 5_2_40 5_4_295 6_3_267 6_3_34 0_3_340 1_3_295 2_3_34 3_2_389 2_2_389 3_3_389 6_3_362 0_5_295 4_2_40 6_4_108 0_5_197 4_6_40 2_3_40 6_2_295 1_2_274 0_2_295 0_2_108 5_6_40 1_3_237 6_0_106 1_5_295 4_0_121 6_5_295 6_4_389 0_2_277 0_3_108 0_3_40 0_3_295 6_3_40 0_3_106 5_3_40 1_3_40 2_3_73 3_0_259 5_5_10 3_6_304 6_3_170 1_2_31 3_2_326 6_2_122,-15.419999999999998,-15.143333333333334,-14.505
