gen,mean_score,compound,best_5_score,best_10_score,best_20_score
10,-12.393103448275863,0_2_6168 4_4_2040 4_1_2040 2_1_2040 6_2_2040 5_1_412 5_2_7229 3_1_2040 0_5_2040 2_0_7275 0_6_2040 4_4_7229 1_1_3860 1_1_2040 0_1_3311 2_1_7275 4_1_7229 0_4_2040 0_4_7229 5_4_7229 6_1_6375 2_1_5752 4_0_2040 4_1_8519 6_1_2040 0_1_2040 2_2_2040 3_0_2040 0_2_7229 0_1_7229 4_2_7229 0_2_7275 0_2_412 2_4_3600 4_0_3215 2_0_7910 1_1_5437 1_6_4181 3_0_412 2_0_6213 4_2_5835 0_2_5613 5_3_8516 0_1_3524 5_4_2165 1_1_3671 0_0_4931 4_0_6027 1_0_2077 5_2_8689 3_1_1780 2_1_4181 3_0_2784 1_1_5754 5_4_7319 6_4_3524 1_1_7275 6_2_5474,-15.4,-15.016666666666666,-14.36
11,-11.973684210526315,4_1_7275 6_1_6375 3_1_2040 4_4_3270 0_2_7275 5_3_8516 5_2_7229 1_1_3671 5_2_2040 0_4_7229 2_4_2040 0_5_412 4_1_2040 0_5_2040 0_0_2040 4_1_8486 5_1_3311 0_2_2040 4_2_7229 4_2_7275 0_1_1740 5_1_412 0_6_3412 4_1_741 5_4_7229 0_2_3385 0_2_6907 4_1_7229 6_2_2040 0_1_2040 2_2_2040 3_0_2040 1_1_2040 0_2_7229 0_1_7229 4_0_4931 0_2_5752 5_2_1883 0_1_8696 6_3_8334 6_3_4409 4_1_6375 0_1_2118 4_2_8516 0_1_2154 2_6_1118 1_0_7229 2_4_4276 5_5_8093 6_0_6375 5_0_2077 5_4_896 0_1_7956 1_3_8516 1_0_8074 5_5_4931 2_4_5164,-15.893333333333334,-15.429999999999998,-14.715
12,-12.610714285714286,0_0_7275 1_0_2040 4_1_9008 0_4_2040 3_1_278 4_1_7229 4_1_2040 0_1_3385 0_1_412 0_5_412 0_2_7229 5_0_2077 6_5_2040 0_1_2040 0_3_2040 0_2_2040 0_2_7275 4_1_7275 1_1_2040 0_2_6907 5_2_7229 3_2_6907 0_1_7229 5_0_2040 6_2_2040 0_0_2040 0_2_5752 2_2_2040 3_0_2040 4_2_7229 0_5_6118 5_6_6907 3_2_9407 1_6_7229 4_2_2213 4_1_2506 0_1_5872 3_3_864 6_5_6375 0_3_8696 6_1_5752 6_1_3433 1_2_9088 6_0_5752 0_0_5274 1_2_7229 0_0_7229 5_4_7349 3_4_2040 3_1_5837 6_4_6375 0_0_8696 4_1_2118 0_3_5752 0_4_6907 5_4_7371,-15.893333333333334,-15.530000000000001,-14.953333333333333
13,-12.426060606060606,0_1_2040 0_1_8696 0_5_2040 0_2_7229 0_2_412 0_2_3385 5_3_2040 0_2_2040 0_0_2040 3_2_2040 0_5_6907 1_2_7229 3_0_2040 0_2_7275 0_0_8696 0_3_2040 5_0_2040 6_4_2040 4_5_7229 0_0_7229 0_2_1517 4_2_6907 4_1_2159 6_2_2040 0_2_5752 6_0_5752 2_2_2040 1_1_2040 3_5_2261 0_6_4747 0_3_8921 2_2_7229 0_1_6907 4_0_4845 5_2_6530 0_1_3473 3_0_8530 0_2_6633 4_0_4090 5_1_3385 3_0_349 0_3_7229 0_5_2888 3_4_7375 5_0_9017 0_5_1889 0_3_1275 2_2_4228 3_0_7977 6_0_2753 0_0_5412 3_3_7721 2_1_699 3_0_1280 3_3_2184,-15.893333333333334,-15.530000000000001,-14.676666666666668
14,-12.576729559748431,1_2_412 6_2_2040 5_2_2040 0_0_2040 0_3_5752 0_2_2040 1_0_2040 2_0_2040 6_0_5752 0_4_7229 0_5_7275 0_2_7229 5_0_2040 0_3_2040 2_4_412 0_1_2040 4_3_2040 0_2_4179 6_2_4803 0_6_2040 4_2_2040 5_6_2040 0_0_7229 1_2_7229 0_0_4125 1_1_2040 0_2_5752 2_2_2040 3_0_2040 0_2_8812 0_0_1763 0_0_4845 1_2_2040 0_5_8696 6_2_7750 0_0_4789 5_1_7185 0_3_8843 3_1_5244 0_2_6530 4_0_2167 3_0_9277 0_6_8696 3_5_5752 6_2_7229 4_2_7867 0_1_5084 4_0_2359 0_6_5280 5_0_3001 0_1_7061 0_3_3385 1_3_2240,-15.893333333333334,-15.530000000000001,-14.656666666666666
15,-12.554320987654322,0_2_2040 0_6_2040 4_2_7229 6_0_2040 1_1_2040 1_0_2040 5_2_7229 3_0_2040 0_3_5752 5_2_412 5_0_2040 0_3_2040 0_4_2040 0_2_8090 6_2_2040 6_6_4179 5_3_2040 2_0_2040 0_4_7229 6_6_2040 3_1_2040 2_2_2040 5_0_3001 4_0_269 0_0_2040 0_1_2040 0_2_5752 6_0_5752 0_0_6932 6_5_6530 2_0_6377 0_0_4179 1_0_3313 0_1_7592 0_0_4382 3_0_144 6_0_5440 0_2_8469 0_0_928 0_0_8003 0_5_2503 1_0_3359 6_0_2348 0_0_5752 3_3_2040 1_5_3886 0_2_3630 3_0_1701 0_2_451 0_1_6688 0_5_5868 6_2_2243 5_0_6530 4_2_2826,-16.086666666666666,-15.749999999999996,-14.981666666666666
16,-12.515151515151514,0_1_2040 0_3_2040 0_0_6709 3_2_412 0_2_412 0_2_2040 1_0_2040 1_3_2040 0_6_5246 1_1_2040 3_2_2040 0_3_5752 4_1_269 0_5_8090 0_0_2040 0_0_5752 1_5_5485 6_2_5883 6_0_2040 0_2_5752 3_0_161 4_2_9535 5_0_3001 4_0_2040 3_1_2040 5_0_2040 2_3_2040 6_2_2040 6_0_5752 2_2_2040 3_3_2040 3_0_2040 0_0_605 0_0_1252 3_0_5752 3_4_5868 2_4_5752 0_3_1431 3_2_3432 5_4_5770 4_4_3506 2_0_7229 5_0_3901 5_4_5752 0_4_7606 0_0_4000 2_2_412 6_3_3307 1_1_4179 6_2_3047 1_2_9328 1_4_2826 1_2_4897 6_1_3313 5_0_8090,-16.086666666666666,-15.749999999999996,-14.888333333333332
17,-12.307692307692308,0_0_6709 3_0_2040 5_1_269 0_2_2040 0_0_5752 2_2_2040 1_0_2040 3_0_5752 0_2_412 0_1_1034 0_3_7730 4_0_2040 0_2_5752 0_0_2040 0_3_2040 6_2_2040 5_0_2040 3_6_161 6_3_3307 4_3_2040 6_0_5752 6_0_2040 0_1_2040 3_3_2040 6_1_269 4_2_9481 0_0_4490 3_6_5752 0_1_1363 3_3_5752 3_0_3288 4_6_2040 0_0_2843 0_5_5752 6_2_5752 5_5_6065 6_0_3047 2_0_5752 3_2_5752 6_2_6462 1_0_5617 3_3_8769 1_1_2979 6_3_3506 ERROR_5_1_5254 0_2_7622 6_4_605 6_5_6716 4_3_3307 6_3_7187 1_0_9439 6_2_3918,-16.086666666666666,-15.77,-15.01833333333333
18,-12.38827160493827,3_2_5752 4_5_2040 3_4_2040 4_0_2040 3_0_5752 1_2_2040 3_0_2040 0_2_2040 0_2_2543 0_1_2040 5_4_1085 5_2_2040 0_3_412 0_6_2843 0_0_6709 6_3_2040 6_2_5752 6_0_2040 0_0_2040 5_0_7078 1_1_2040 4_2_2040 0_2_5752 6_2_2040 3_2_2040 0_0_5752 6_0_5752 2_2_2040 3_3_2040 5_2_4694 0_0_2550 6_1_8225 4_0_6248 5_0_6462 4_0_8452 1_0_9171 6_0_9511 0_4_1976 2_1_1820 5_0_5752 0_0_4351 4_6_8821 5_3_2249 2_2_5617 3_6_2832 3_5_6462 5_6_5752 0_5_1034 3_3_7187 2_5_5752 4_4_5754 4_0_7935 0_0_412 4_2_3991,-16.086666666666666,-15.77,-15.041666666666666
19,-12.970833333333331,3_0_2040 6_1_2040 4_0_7935 1_2_2040 0_2_6709 3_2_5752 0_4_2040 0_0_2040 0_2_2040 5_1_2040 0_1_4315 2_5_5752 4_1_2040 3_0_408 0_2_3682 1_0_412 6_2_5752 4_0_2040 0_1_2843 5_0_5752 0_0_686 0_0_6709 6_2_2040 6_0_2040 6_6_2040 1_0_2040 5_2_2040 3_0_5752 0_0_5752 0_1_2040 0_2_5752 6_0_5752 2_2_2040 3_3_2040 5_2_5752 0_0_8589 3_0_8837 4_0_5752 4_0_3793 1_1_2843 2_2_4198 4_2_5752 0_3_2493 2_4_6896 3_6_2040 0_0_4625 3_0_8452 4_6_2843 2_3_5752 3_4_8975 6_3_6039 1_5_5752 4_2_5278 6_0_9311 5_0_8845 6_2_5584,-16.086666666666666,-15.77,-15.133333333333331
20,-12.612865497076024,0_3_6709 1_1_412 3_3_2040 6_0_2040 6_6_2040 6_2_6709 4_0_5752 6_0_5752 6_2_2040 6_1_2040 0_3_2493 4_0_2040 0_4_2040 0_2_6709 4_0_412 3_2_5752 3_0_2040 0_6_2040 6_2_4691 4_2_2040 1_0_412 3_1_2040 4_6_2040 6_1_412 6_2_412 0_0_5752 0_2_2040 0_0_2040 0_1_2040 0_2_5752 2_2_2040 6_2_5752 6_6_5752 6_6_686 1_6_412 2_4_9009 6_0_5790 0_0_892 4_3_4083 4_3_8101 6_2_8976 2_1_2409 0_6_5979 6_2_7286 0_6_5752 1_0_947 0_1_7979 3_2_2801 4_1_5752 5_6_9311 0_0_3793 5_0_6116 3_0_2843 5_0_5278 4_2_6485 2_3_8140 3_0_6067,-16.086666666666666,-15.77,-14.876666666666669
21,-12.487719298245613,4_1_2040 1_1_2040 4_1_5752 0_5_2040 4_2_6485 2_0_5752 3_0_2040 6_1_2040 3_2_2040 3_2_5752 6_0_2040 0_2_6709 6_2_8887 3_0_6067 3_2_5820 6_2_2040 1_0_412 4_2_2040 0_0_2843 3_3_6709 0_0_5752 0_2_2040 0_6_2040 0_0_2040 0_1_2040 0_2_5752 6_0_5752 2_2_2040 6_2_5752 3_3_2040 6_0_4901 4_1_7180 5_2_2409 6_5_3781 1_0_8492 0_2_5979 0_3_7662 4_1_6485 0_0_2390 0_0_3961 0_2_4962 3_1_2596 5_5_5752 1_0_3415 0_2_7163 2_6_7979 3_3_7242 0_2_6485 0_4_9040 6_1_6654 4_4_5752 6_1_8684 4_2_892 6_2_7859 0_2_2491 5_1_9285 0_0_1063,-16.086666666666666,-15.77,-14.968333333333334
22,-12.307692307692308,3_1_2040 3_2_2040 4_2_2040 0_0_5752 2_2_2040 0_0_218 6_0_5752 0_4_6485 6_2_2040 1_1_2040 3_0_2040 6_0_2040 6_2_5752 2_1_2409 0_2_5820 0_2_2040 0_3_2040 2_4_5752 3_0_5752 6_2_4533 0_1_2040 0_1_6485 0_2_6485 6_1_2040 3_3_2040 6_5_2040 6_2_1463 4_1_6485 0_0_2040 0_2_5752 3_3_6485 0_0_1248 0_1_1356 6_1_2596 3_1_5180 4_2_7291 5_2_8492 1_0_750 6_2_7454 3_1_6485 0_0_2649 3_0_3853 0_1_2596 2_2_9147 0_2_6141 6_2_3420 0_3_3926 3_0_6485 2_1_9071 1_3_3886 0_2_1957 5_1_5820,-16.086666666666666,-15.77,-14.731666666666666
23,-11.96121212121212,1_1_3443 1_1_6749 5_2_8492 0_0_2040 0_0_5752 0_3_3926 6_2_5752 5_1_9071 5_5_5820 3_0_2040 0_5_6327 3_1_2040 6_3_2040 0_0_5395 4_4_5820 0_0_3544 0_3_2040 5_2_163 6_6_2040 6_6_5752 5_1_5820 5_4_2040 2_0_2040 6_1_2040 6_2_2040 0_2_2040 6_1_5820 4_1_6485 5_0_2040 0_1_2040 0_2_5752 6_0_5752 2_2_2040 3_3_2040 3_4_7801 4_2_7530 6_0_9222 3_3_314 2_0_2409 6_4_5752 3_2_6033 3_1_7839 0_6_699 6_6_643 0_3_8411 2_3_7609 3_5_1670 5_2_9172 6_2_9563 0_0_7399 3_2_1631 0_4_2596 1_3_1719 2_4_6285 2_0_8492,-16.086666666666666,-15.77,-14.535
24,-12.185454545454544,4_1_6485 0_2_2040 0_1_2040 5_0_2040 6_3_2040 0_0_7399 2_3_2040 0_2_5752 5_6_2040 6_5_2040 0_0_5752 0_4_2596 0_3_6369 6_4_5752 0_6_699 4_0_2040 4_2_2040 0_4_2040 5_2_5752 6_0_2040 0_0_3544 6_2_2040 0_0_2040 6_0_5752 2_2_2040 6_2_5752 3_3_2040 6_4_7075 0_2_2596 5_5_8384 4_1_1285 0_4_4408 2_2_2034 0_0_3302 0_0_9102 6_0_6749 0_2_320 5_2_4603 4_6_3312 3_6_3926 3_0_7530 5_2_3935 2_4_6485 3_1_5820 0_1_6749 6_0_4970 3_2_4087 4_4_6749 0_1_5752 5_2_7631 0_0_7935 4_6_3926 4_1_5820 6_2_2663 4_3_5752,-16.246666666666666,-15.896666666666667,-14.933333333333337
25,-12.366060606060605,6_4_7075 4_0_5752 0_2_938 3_3_2040 5_2_324 1_2_858 0_1_2040 4_0_8633 0_5_2040 2_1_2040 0_3_6369 4_3_5752 4_0_2040 0_2_2040 0_1_3531 6_2_2040 0_0_2040 0_1_6485 0_0_5752 2_3_2040 5_4_5752 2_0_3544 3_0_5752 0_1_5752 0_2_5752 6_0_5752 2_2_2040 6_2_5752 1_2_2522 0_2_426 0_1_8565 2_0_2034 6_3_5364 4_6_6485 3_5_2040 6_2_4560 0_4_6474 3_6_1285 0_0_5167 0_2_5747 1_2_5752 5_1_7631 0_4_1558 6_0_6910 0_2_3877 5_5_7631 0_0_7195 6_1_1285 0_1_7947 4_4_6727 3_2_7935 4_6_5752 0_2_3028 4_3_2347 6_3_1466,-16.246666666666666,-15.896666666666667,-14.863333333333333
26,-12.393209876543212,6_4_2040 3_0_5752 4_4_2040 0_1_6485 0_0_157 1_2_858 2_3_2040 0_0_289 0_2_5752 6_2_2040 3_1_2040 5_1_324 5_0_5752 3_3_5752 4_0_2040 0_1_2040 4_0_8100 0_2_5899 0_0_2040 0_2_2040 3_2_2040 0_3_5752 0_1_3531 6_2_5752 0_5_2040 3_1_7408 0_3_459 0_0_5752 0_1_5752 6_0_5752 2_2_2040 0_1_7631 3_2_3636 0_3_8984 6_5_5752 0_6_3609 0_0_8590 5_1_3531 3_2_1774 0_6_2691 0_0_6288 2_1_6716 5_2_1758 0_2_5167 0_3_5760 0_0_426 3_1_5752 6_1_7554 5_1_6485 1_6_1558 4_1_5167 3_0_3396 3_0_6144 6_2_7192,-16.313333333333336,-15.973333333333334,-14.816666666666666
27,-13.02830188679245,3_2_2040 1_2_2374 6_0_2040 5_0_2040 6_1_2040 4_2_4748 0_2_253 6_5_2040 4_2_9548 2_3_2040 0_2_2040 0_4_2040 6_0_5752 3_1_2040 6_2_2040 0_0_2040 0_5_5752 6_2_0 3_2_5752 6_0_2953 4_1_1928 6_2_5752 2_1_2040 0_1_2040 3_0_2040 2_6_2040 0_5_3133 0_4_4573 6_4_2040 2_2_2040 6_5_5752 0_1_5752 4_0_2040 3_3_2040 0_0_5752 3_1_5752 0_2_5752 0_2_7123 0_5_1304 1_0_5167 6_2_5167 0_2_6116 2_2_5752 0_3_9138 4_1_858 0_2_7353 0_2_7453 1_2_596 2_2_1551 4_2_6941 5_3_5752 1_0_5752 3_2_8311,-16.366666666666667,-16.04,-15.34
28,-12.575925925925926,4_0_4748 0_2_2040 6_1_5752 6_2_5752 2_0_2040 4_4_2040 0_1_5752 3_4_2040 3_0_2040 6_0_5752 0_1_2040 3_2_1919 0_4_2040 6_2_2040 5_1_6147 3_2_2040 2_2_2040 5_4_2040 4_4_5752 1_3_2040 2_1_2040 3_1_9375 3_0_5752 5_1_2040 6_1_2040 5_2_2040 0_2_6116 1_1_2040 5_2_858 0_0_5752 1_0_5752 3_1_5752 0_0_2040 0_2_5752 3_1_4721 2_5_6116 4_0_7641 1_0_8651 ERROR_2_2_5254 5_5_1108 0_5_5167 0_0_4748 0_3_6116 2_0_2033 0_0_7837 2_6_4573 1_4_2345 3_2_1688 6_6_955 1_4_4573 6_0_9245 5_5_2848 3_2_6784 4_0_858,-16.366666666666667,-16.04,-15.346666666666668
29,-12.969871794871796,0_2_1919 6_2_5752 0_1_2040 3_4_7667 4_1_5752 0_0_5752 2_1_5752 0_2_5752 1_0_248 6_0_5752 6_0_2040 3_0_2040 0_3_5752 6_1_2040 0_5_5752 2_1_2040 6_2_2040 0_2_858 3_0_5752 1_2_2040 3_1_5752 5_1_2040 0_0_2040 5_3_2040 6_0_3959 1_1_2040 4_4_2040 0_1_5752 0_2_2040 1_0_5752 5_5_1888 6_6_7526 1_6_6207 6_0_4748 1_1_5752 3_2_7279 0_0_6116 5_2_1678 3_5_2131 1_0_1919 5_1_6233 2_1_9457 3_1_6976 6_0_6381 1_0_2963 5_0_6147 0_1_7095 6_1_9033 5_2_474 1_0_2535 1_0_4016 6_2_5705,-16.366666666666667,-16.04,-15.298333333333336
30,-12.92549019607843,0_0_5752 2_2_5752 0_1_5752 1_2_5752 0_2_2040 5_1_2040 0_0_2040 1_2_1919 6_0_5607 0_1_2040 2_2_2040 1_4_2040 6_4_7591 1_0_5752 4_2_5752 0_1_9033 2_1_5752 0_2_450 6_0_5752 6_1_6381 0_2_5752 1_1_5752 1_0_2963 1_2_2040 0_5_2040 6_2_2040 6_1_2040 3_5_5752 4_0_5752 0_5_5752 3_1_5752 0_5_643 3_2_8496 6_2_9033 2_1_2647 5_0_2618 6_3_4616 0_2_3946 1_4_9457 0_4_5752 3_1_8404 6_2_3688 5_2_3404 0_0_7681 2_1_800 0_1_9393 0_0_1427 5_4_9036 3_1_5322 2_0_6623 5_1_2129,-16.366666666666667,-16.04,-15.11
