,ps,link,lig,gen
0,5,4,6290,0
1,5,2,1631,0
2,4,3,8025,0
3,2,5,2595,0
4,6,3,4633,0
5,5,6,4644,0
6,0,5,3367,0
7,6,2,2283,0
8,5,5,4532,0
9,0,4,5290,0
10,3,3,4384,0
11,5,0,7060,0
12,2,3,1446,0
13,2,3,4836,0
14,1,1,2348,0
15,3,3,3449,0
16,4,4,1901,0
17,4,2,3388,0
18,5,3,1446,0
19,1,6,4486,0
20,0,4,7739,0
21,6,6,7158,0
22,0,3,5298,0
23,1,2,1854,0
24,3,5,3848,0
25,0,3,4564,0
26,3,6,828,0
27,2,1,5367,0
28,2,5,4688,0
29,2,1,5060,0
30,4,0,3335,0
31,1,4,685,0
32,5,3,6185,0
33,4,4,3812,0
34,6,0,2481,0
35,1,6,4021,0
36,5,4,8245,0
37,6,6,6282,0
38,2,0,7848,0
39,0,1,6069,0
40,2,1,2550,0
41,2,4,1604,0
42,0,2,6451,0
43,2,2,631,0
44,2,5,6805,0
45,5,1,6082,0
46,5,0,1915,0
47,0,0,5054,0
48,6,4,7458,0
49,2,5,2309,0
0,0,2,523,99
1,0,3,7981,99
2,0,3,7981,99
3,4,1,7981,99
4,3,2,7981,99
5,3,2,7981,99
6,0,2,7981,99
7,0,1,7981,99
8,0,1,7981,99
9,4,2,7981,99
10,4,2,7981,99
11,0,3,1915,99
12,3,1,7981,99
13,3,1,7981,99
14,0,1,523,99
15,0,0,7981,99
16,3,3,7981,99
17,0,5,7981,99
18,6,1,7981,99
19,0,0,8197,99
20,3,0,7981,99
21,0,1,1359,99
22,5,1,4240,99
23,4,3,7935,99
24,4,4,7981,99
25,2,1,6531,99
26,0,5,7891,99
27,4,1,3165,99
28,1,1,4240,99
29,4,3,1891,99
30,0,0,5462,99
31,0,6,7981,99
32,1,2,1766,99
33,0,0,9590,99
34,4,2,1359,99
35,0,0,9230,99
36,0,4,1662,99
37,5,3,1359,99
38,3,3,3730,99
39,1,4,344,99
40,0,3,2519,99
41,4,1,7801,99
42,4,0,4116,99
43,5,0,1956,99
44,3,1,7153,99
45,4,4,3186,99
46,5,5,5000,99
47,2,4,3730,99
48,3,2,7782,99
49,3,0,5000,99
