,ps,link,lig,gen
0,5,4,6277,0
1,6,4,1605,0
2,1,6,6726,0
3,4,1,4953,0
4,1,6,3586,0
5,6,0,6318,0
6,2,3,3121,0
7,2,3,5330,0
8,0,2,1716,0
9,4,4,1643,0
10,0,1,7524,0
11,2,1,7469,0
12,4,6,1406,0
13,6,0,7680,0
14,6,2,6471,0
15,6,2,2420,0
16,0,6,8788,0
17,3,3,6956,0
18,5,6,3260,0
19,3,3,4903,0
20,1,2,3748,0
21,5,3,1824,0
22,1,4,4652,0
23,4,5,287,0
24,1,5,8419,0
25,0,0,6709,0
26,0,2,2899,0
27,2,2,1537,0
28,4,2,8357,0
29,2,4,6734,0
30,1,1,3444,0
31,4,2,1995,0
32,1,4,2899,0
33,3,4,1388,0
34,6,6,6135,0
35,2,1,625,0
36,0,3,6988,0
37,5,1,980,0
38,0,1,3192,0
39,1,2,2404,0
40,1,3,8498,0
41,4,4,1976,0
42,3,4,2785,0
43,2,3,4411,0
44,1,0,9135,0
45,5,5,5958,0
46,4,6,9005,0
47,4,4,5206,0
48,2,6,1001,0
49,5,4,7710,0
0,0,0,5752,99
1,0,0,5752,99
2,0,1,5752,99
3,0,2,2040,99
4,0,1,5752,99
5,1,0,5752,99
6,1,0,5752,99
7,3,1,5752,99
8,6,2,2040,99
9,6,2,2040,99
10,0,0,2040,99
11,0,0,2040,99
12,0,1,2040,99
13,0,1,2040,99
14,0,2,5752,99
15,0,2,5752,99
16,6,0,5752,99
17,6,2,5752,99
18,5,1,2040,99
19,5,0,2040,99
20,1,1,2040,99
21,4,1,2040,99
22,3,2,8532,99
23,0,1,7690,99
24,0,1,1261,99
25,0,4,5752,99
26,1,0,2040,99
27,0,1,5939,99
28,2,0,5752,99
29,0,2,8544,99
30,0,1,148,99
31,0,6,2040,99
32,0,0,3837,99
33,0,1,8253,99
34,5,0,5752,99
35,0,0,7247,99
36,1,0,7854,99
37,5,2,5939,99
38,2,2,5752,99
39,3,5,5752,99
40,0,5,3682,99
41,0,3,992,99
42,2,2,7971,99
43,0,2,2929,99
44,1,3,8532,99
45,6,2,8006,99
46,3,1,5939,99
47,4,0,6578,99
48,3,0,8332,99
49,1,0,548,99
