gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.579333333333336,1_3_7294 3_0_43 5_6_6286 0_6_8719 5_6_407 5_2_3984 3_1_2028 5_4_3814 3_2_900 1_3_7323 1_6_4670 5_5_9480 5_5_9533 5_3_6470 6_3_7952 3_3_9295 4_3_4574 2_1_4820 5_1_8189 6_5_3776 2_4_7536 3_4_4438 2_5_830 2_4_405 3_2_5361 1_1_3780 5_0_8514 5_6_4314 6_0_6475 1_2_4529 2_2_5939 1_3_4177 6_1_4073 0_6_7310 0_5_4643 1_4_8412 0_1_1956 4_5_3685 2_6_6471 3_2_1204 6_4_5945 6_5_2051 6_5_776 2_0_1467 2_0_3846 4_2_4860 4_0_4179 1_4_2496 5_5_4867 2_1_9579,-12.499999999999998,-12.146666666666667,-11.736666666666668
1,-11.036723163841806,1_3_69 1_3_4177 5_5_4867 5_2_4608 5_5_9533 3_2_1204 3_2_900 2_0_1467 1_6_405 3_3_9295 1_2_4529 1_3_7323 1_1_3780 6_1_4073 0_1_1956 2_1_9579 1_4_8412 2_4_405 5_2_3984 5_1_8189 2_2_3988 4_4_8624 6_0_4650 5_2_4529 5_3_1204 3_4_3814 2_4_7323 1_0_3780 5_0_776 3_5_4179 5_1_9295 0_3_9295 1_3_4679 6_6_3776 3_0_9295 2_1_8412 5_6_1299 1_5_3846 3_6_954 5_3_4529 6_2_5945 1_4_9006 3_3_6357 1_2_7437 1_2_7323 4_0_4867 1_6_3223 1_1_4574 6_4_776 2_5_4179 3_1_9295 0_3_2313 6_1_7952 6_6_4233 1_1_4820 5_6_7323 3_3_4600 1_3_5062 3_3_6470,-13.106666666666666,-12.809999999999999,-12.386666666666667
2,-11.260344827586207,3_1_9295 3_3_69 1_3_7323 6_4_776 0_4_4179 1_4_8412 5_2_4608 1_4_4400 0_1_6538 3_1_5054 6_2_4608 6_2_405 2_5_4179 2_2_906 1_0_9006 5_1_8189 1_5_1790 1_2_4529 1_2_7323 0_3_9295 5_0_776 1_1_3780 6_2_5945 2_1_8412 3_3_6357 6_1_4073 1_5_4021 6_3_2589 2_4_9295 1_2_4764 5_2_4968 0_0_5945 1_1_5761 6_4_405 6_4_2375 2_0_9295 5_1_9579 3_4_9579 2_3_5820 2_4_4179 5_0_1956 1_3_9006 5_2_3988 6_1_9295 1_0_5062 1_2_5945 6_6_8314 0_6_8563 5_2_1340 5_1_4574 1_4_4650 2_1_7029 3_1_4600 2_1_9295 0_2_3321 5_1_4179 1_0_2749 5_3_9295,-13.286666666666667,-12.993333333333334,-12.705000000000002
3,-11.261988304093569,1_0_5843 5_0_126 6_2_4617 0_3_9295 1_3_7323 0_2_405 3_4_631 2_1_7029 6_6_47 2_2_906 1_2_7323 1_4_4400 6_3_1648 2_2_4608 6_2_209 0_1_6538 5_1_9579 1_2_4764 5_2_4608 5_0_776 1_1_3780 6_2_5945 5_4_776 3_3_3688 6_0_776 5_4_9579 3_4_4816 2_3_7323 5_6_9579 5_1_4073 2_3_8059 1_4_742 1_5_4764 6_4_3877 5_0_5945 5_2_7762 3_1_776 5_3_7323 3_2_4600 1_6_5945 5_3_4179 1_5_7323 6_0_4608 1_1_9579 5_1_1357 0_1_4942 1_0_5945 6_0_2749 1_6_4608 1_0_7323 6_2_7409 6_0_5945 0_2_4600 5_1_6334 1_2_6842 3_4_906 5_1_4600,-13.453333333333333,-13.170000000000002,-12.886666666666667
4,-11.615555555555554,0_1_405 5_1_6601 0_2_4452 1_0_5945 6_2_627 5_6_4608 3_2_7323 6_0_776 0_0_5945 1_5_7323 4_3_4764 6_0_335 5_1_6334 2_4_8910 1_2_7338 6_5_776 5_3_2469 5_4_1357 0_2_776 1_2_7323 1_0_7323 1_3_7323 0_1_6538 0_2_405 5_1_9579 1_2_4764 2_3_7323 5_1_4073 0_3_9295 4_0_2743 5_0_7029 0_2_9295 6_2_7076 5_0_7762 1_3_3780 0_3_5987 4_1_776 6_0_7323 0_1_3095 2_3_4407 1_4_6308 1_6_5356 1_2_6569 0_2_4115 5_1_4942 1_1_126 6_1_4617 5_6_7762 5_3_3241 5_0_4179 6_5_4360 1_1_5730 6_3_9579 3_2_5945 0_0_7323 5_0_4600 3_0_6613 1_5_1087 0_6_4608 1_1_7323,-13.8,-13.566666666666666,-13.208333333333334
5,-11.844047619047618,0_1_2325 1_0_1929 5_6_7323 5_1_9579 5_4_190 5_1_4073 1_1_7323 1_3_405 5_3_2469 6_2_3780 1_2_7323 1_0_7323 0_1_3095 1_3_6152 0_2_6538 5_2_5090 0_2_776 1_4_3780 0_1_405 0_0_7323 0_2_4452 1_3_7323 0_1_6538 0_2_405 0_2_7323 3_4_3827 6_1_856 1_4_5945 1_3_8141 0_6_7323 6_0_4764 0_1_9295 0_2_4073 0_1_9579 1_6_7323 1_1_7931 1_0_6569 0_2_6334 3_1_4513 0_6_776 5_3_6334 1_0_4456 2_0_4810 5_4_6569 1_0_8861 6_5_8718 0_3_3144 5_3_1296 6_2_7627 5_6_6633 5_0_7323 5_1_4452 5_1_2452 1_1_5059 2_0_7323 0_0_4617,-14.146666666666667,-13.896666666666667,-13.516666666666666
6,-12.014814814814814,5_6_7323 5_4_2469 0_2_2469 0_2_7323 6_1_5666 5_0_190 0_3_405 0_2_6538 0_6_776 6_2_7627 6_3_9579 5_2_2469 1_0_94 5_1_2469 1_2_7323 0_0_6129 2_2_8878 0_2_776 1_0_7323 0_2_6185 6_2_3780 0_2_2325 0_2_4073 5_3_7323 0_1_405 0_1_2325 0_0_7323 0_2_4452 6_0_7627 5_1_1574 5_5_4073 5_1_9223 6_5_4482 0_2_6586 0_1_7323 3_0_7323 1_4_9004 4_2_6569 2_6_7347 1_5_1296 6_2_5620 4_3_7198 1_3_1296 5_4_7323 2_2_6334 6_2_3095 0_0_7510 3_3_6843 0_0_5512 0_4_8332 3_1_9072 0_2_1222 0_2_6061 5_2_9579,-14.306666666666667,-14.040000000000001,-13.535000000000002
7,-12.354320987654319,1_3_7323 3_3_2469 1_2_5512 0_2_776 0_2_4073 0_2_6538 0_0_6185 0_2_6093 0_2_1002 1_0_7323 0_2_2469 0_2_7323 0_3_9132 3_4_1966 0_2_5926 0_0_7323 2_2_4537 0_2_6061 5_4_7323 1_2_9202 5_2_129 0_1_7323 0_1_405 0_1_2325 1_2_7323 2_2_9025 5_3_6129 1_4_8519 6_2_7323 4_1_6843 5_1_3109 3_0_776 1_1_9223 2_0_2151 0_3_9579 4_1_3095 6_3_7323 4_2_776 2_1_648 1_1_4404 2_1_7323 0_0_8642 1_2_4958 0_0_6843 5_4_1746 5_0_7627 1_0_9223 6_5_5620 5_2_8490 0_2_1087 0_2_6449 5_2_7771 4_2_5512 1_0_3539,-14.406666666666666,-14.153333333333332,-13.786666666666667
8,-12.26181818181818,0_1_4073 0_2_2469 4_2_3095 0_1_5926 0_2_2106 0_2_1087 0_4_5516 0_2_7323 0_2_9592 0_2_7237 0_2_6449 1_3_7323 1_2_7323 6_3_7323 0_2_4073 0_2_1353 1_1_9380 5_3_8490 6_2_7323 0_4_6538 0_2_776 1_1_9223 0_1_7323 0_2_1002 0_1_405 0_1_2325 0_2_6538 5_1_2460 1_3_9350 0_6_4073 5_3_2325 0_5_5570 0_2_3653 0_4_6185 5_6_4394 5_0_1546 5_2_6185 1_0_8902 6_4_5926 6_2_5087 0_4_6449 0_2_5393 4_3_6152 0_2_1982 2_1_776 1_3_6185 2_2_7323 6_5_1720 0_6_1778 0_2_7155 6_2_6303 3_5_3095 0_4_7323 0_4_9223 3_2_3095,-14.406666666666666,-14.176666666666668,-13.809999999999999
9,-11.654761904761907,0_2_6303 0_1_7431 4_2_6538 0_2_7323 6_3_7323 1_1_2460 5_2_6185 0_3_2469 1_3_5250 0_2_2469 6_3_6303 0_2_6538 0_2_1087 0_4_6538 3_2_1002 0_2_3653 1_2_7323 0_4_6185 0_3_2460 3_1_8690 0_1_7323 0_2_1002 0_1_405 0_2_4073 0_1_2325 6_2_7323 4_4_1982 0_3_1837 2_0_3095 0_2_3058 6_2_925 1_2_3526 0_5_6152 1_3_8721 4_6_4073 5_4_6821 2_3_9350 2_6_4451 1_3_4073 4_0_7121 0_5_8902 0_5_1982 0_2_5523 1_2_8902 0_1_1314 0_3_8748 0_2_3095 1_2_8327 0_2_730 5_2_2135 6_0_8244 0_4_5570 5_0_4073 4_1_6134 6_6_7323 1_3_1982,-14.406666666666666,-14.176666666666668,-13.655000000000001
