,ps,link,lig,gen
0,3,5,7316,0
1,6,3,5247,0
2,4,4,5525,0
3,5,0,2029,0
4,5,2,8712,0
5,5,4,4934,0
6,1,1,2894,0
7,5,0,3455,0
8,2,0,2066,0
9,5,6,637,0
10,1,1,7863,0
11,3,4,5593,0
12,4,0,1243,0
13,4,3,8167,0
14,0,6,2005,0
15,4,1,1748,0
16,4,0,1133,0
17,1,3,7865,0
18,5,1,2990,0
19,4,1,4764,0
20,6,2,1951,0
21,4,5,919,0
22,2,3,2515,0
23,2,0,8269,0
24,6,3,9425,0
25,5,2,4527,0
26,2,2,2210,0
27,1,6,7192,0
28,0,5,5851,0
29,4,6,3720,0
30,1,4,5684,0
31,4,5,1926,0
32,0,2,2931,0
33,6,0,4610,0
34,1,5,3281,0
35,1,5,4117,0
36,3,4,1543,0
37,3,6,8018,0
38,5,3,1442,0
39,6,5,5148,0
40,6,2,1919,0
41,0,3,7817,0
42,3,0,9247,0
43,4,3,4039,0
44,0,3,3291,0
45,2,6,569,0
46,1,0,1144,0
47,5,2,2933,0
48,2,1,703,0
49,2,0,6233,0
0,0,0,1661,99
1,1,0,8026,99
2,1,0,8026,99
3,6,2,8026,99
4,6,2,8026,99
5,0,2,8026,99
6,0,2,8026,99
7,0,1,8026,99
8,0,1,8026,99
9,0,3,6894,99
10,0,2,3281,99
11,0,2,3281,99
12,0,1,3281,99
13,0,2,5262,99
14,1,1,8026,99
15,1,1,8026,99
16,4,2,3281,99
17,0,0,3281,99
18,6,2,3281,99
19,3,2,3281,99
20,0,3,8026,99
21,0,1,4132,99
22,4,2,5262,99
23,0,2,3713,99
24,0,2,8389,99
25,4,0,7048,99
26,1,2,5651,99
27,1,3,8026,99
28,4,2,8026,99
29,0,5,8307,99
30,4,2,221,99
31,0,2,3828,99
32,6,3,8026,99
33,4,2,202,99
34,3,4,3281,99
35,0,1,5656,99
36,4,0,2931,99
37,5,0,8026,99
38,6,2,1773,99
39,2,5,3281,99
40,1,0,9243,99
41,5,1,3965,99
42,5,1,6873,99
43,3,0,8026,99
44,0,0,4438,99
45,4,0,6767,99
46,6,1,545,99
47,5,3,7742,99
48,5,0,6873,99
49,0,1,4822,99
