gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.768666666666666,3_5_7316 6_3_5247 4_4_5525 5_0_2029 5_2_8712 5_4_4934 1_1_2894 5_0_3455 2_0_2066 5_6_637 1_1_7863 3_4_5593 4_0_1243 4_3_8167 0_6_2005 4_1_1748 4_0_1133 5_1_2990 4_1_4764 6_2_1951 4_5_919 2_3_2515 2_0_8269 6_3_9425 5_2_4527 2_2_2210 1_6_7192 0_5_5851 4_6_3720 1_4_5684 4_5_1926 0_2_2931 6_0_4610 1_5_3281 1_5_4117 3_4_1543 3_6_8018 5_3_1442 6_5_5148 6_2_1919 0_3_7817 3_0_9247 4_3_4039 0_3_3291 2_6_569 1_0_1144 5_2_2933 2_1_703 2_0_6233 1_3_7865,-13.253333333333334,-12.739999999999998,-12.139999999999997
1,-11.017514124293784,0_5_8740 4_3_8167 0_1_2990 1_4_7316 6_1_5247 5_6_5367 0_1_7189 3_1_3281 5_3_2280 3_1_8289 2_6_7192 2_5_3281 6_3_8054 5_1_9425 2_0_2210 0_4_1543 2_6_8969 5_2_1394 5_0_8269 3_3_4039 3_3_5247 5_5_2312 5_1_2990 5_2_4527 5_2_2933 4_1_4764 2_3_2515 6_2_1919 1_5_3281 5_0_2029 4_3_4039 0_3_5247 1_3_9425 4_5_7914 0_5_5652 2_2_2066 2_0_5165 0_6_3291 4_3_1919 5_2_1442 4_2_1774 2_6_8269 0_3_2210 0_4_4934 2_3_7817 3_4_8167 0_5_919 5_5_5851 3_0_1144 5_1_703 2_2_8712 6_2_1457 5_3_1863 5_1_8712 1_1_8466 5_1_1748 5_6_7192 2_6_2210 5_6_6094,-13.726666666666665,-13.126666666666665,-12.591666666666667
2,-11.611111111111112,4_3_8167 1_2_7579 5_0_2906 3_3_4039 6_2_1919 1_4_7316 6_1_5247 4_4_1543 5_0_705 3_1_1350 4_0_8269 4_1_8712 2_4_4527 5_2_1442 2_5_7316 4_1_8167 1_5_3281 6_3_8054 6_3_6350 4_1_1488 0_1_3281 4_1_4764 1_3_8054 5_0_5165 5_1_8272 0_0_8269 5_0_8269 3_3_8289 4_5_7914 2_0_7895 5_1_9573 0_1_2990 5_1_2990 5_2_4527 3_1_3281 5_2_2933 2_3_2515 6_2_1457 3_4_2280 3_1_4764 4_1_1788 1_1_7189 1_0_3007 4_5_2312 4_5_8269 1_4_2029 2_4_8289 1_5_7914 4_3_1104 1_3_2210 4_4_8712 2_2_3670 1_3_6780 5_3_1748 3_2_9048 5_3_3933 5_5_1023,-14.146666666666667,-13.540000000000001,-12.934999999999999
3,-11.503333333333332,6_2_1457 1_0_3007 6_1_75 4_3_1543 5_6_8712 1_4_7316 4_2_1442 4_6_8167 6_2_3929 6_3_6350 6_3_2990 6_3_8269 1_1_3281 4_1_8712 3_3_4039 0_3_8167 3_4_1543 5_1_8712 6_2_1919 0_2_3281 6_3_1350 2_1_1350 4_4_8167 2_5_7316 4_3_4842 2_2_5395 0_1_3281 0_1_2990 5_1_2990 5_2_4527 3_1_3281 5_2_2933 5_1_9573 4_1_8167 4_1_4764 2_3_2515 5_5_7358 3_3_4764 4_3_8158 6_6_4708 3_3_827 4_1_1442 6_0_2210 3_6_4764 4_2_1023 3_5_4764 2_0_6111 5_0_1788 0_1_9490 4_0_1490 3_5_1350 4_0_8657 2_3_6350 5_2_1023 5_2_705 1_1_8289 3_1_5708 4_0_7780 1_5_1457 1_6_1457,-14.973333333333334,-14.23,-13.411666666666667
4,-11.611299435028249,5_3_2933 3_2_4764 2_6_8167 5_6_2990 0_6_4717 4_1_5417 0_2_4764 4_2_2933 4_2_1442 6_1_2858 2_3_5142 1_5_6923 5_3_2990 1_3_8167 3_0_5482 2_5_2515 4_2_6864 5_1_2990 6_2_1919 3_3_4764 5_2_1160 3_3_2515 2_2_5395 2_0_3986 0_2_3281 0_1_3281 6_3_2990 1_1_3281 0_1_2990 5_2_4527 3_1_3281 5_2_2933 0_3_8167 2_4_5641 6_3_2949 3_3_5708 5_1_6611 0_3_5544 4_1_2867 6_1_3535 3_4_3929 1_1_4764 4_4_7316 0_5_705 2_0_8657 0_2_6350 2_3_307 0_5_8158 3_4_3405 6_2_5598 3_3_1023 4_6_5708 5_4_8712 6_5_4764 6_3_1543 5_1_4241 1_2_6750 4_3_8657 2_0_3007,-15.1,-14.486666666666665,-13.720000000000002
5,-12.076271186440678,2_5_2515 2_0_4241 3_1_2545 0_5_8167 6_2_8167 4_2_4527 2_2_307 6_1_2990 4_1_2990 2_1_2990 3_3_4764 5_1_2515 5_1_107 4_2_6664 5_3_35 5_1_5664 5_2_4527 6_2_7756 6_4_2990 6_1_1291 4_3_8657 3_3_2515 3_2_4527 0_2_3281 0_1_3281 6_3_2990 5_3_2990 4_2_2933 1_1_3281 0_1_2990 5_1_2990 3_1_3281 2_3_4764 4_4_3535 6_6_3288 2_2_5560 5_1_1791 5_3_6611 6_2_3535 2_4_2858 0_3_4764 6_0_6724 1_5_3007 6_3_4611 4_3_656 3_0_1023 2_1_3535 5_2_4764 3_2_4241 3_2_6611 6_5_2364 3_4_4764 1_3_1694 2_5_5395 5_2_3169 5_1_2867 2_3_4156 3_1_4241 5_1_3535,-15.146666666666667,-14.573333333333332,-13.89166666666667
6,-12.245238095238093,4_3_64 4_1_2990 5_3_107 2_4_6932 2_0_2515 5_6_2990 4_1_3281 3_3_562 5_3_2990 0_2_3281 1_3_8857 5_1_2867 6_1_2990 2_2_4241 0_3_2990 1_1_2990 2_2_307 5_3_6611 2_2_3281 2_0_4764 6_0_2990 5_1_3281 3_2_3281 0_1_1960 4_2_2990 4_1_4614 4_2_4527 0_1_3281 6_1_4825 3_3_5243 3_2_35 6_3_2990 4_2_2933 1_1_3281 0_1_2990 5_1_2990 6_2_7756 3_6_656 5_1_3167 2_2_6075 6_1_5981 0_0_7418 4_2_1791 3_4_7040 5_3_6990 1_0_8167 0_1_2309 6_1_1694 2_3_656 3_1_5660 4_1_6664 5_3_6550 5_2_2195 5_0_2867 6_4_5122 3_3_4241,-15.4,-15.030000000000001,-14.371666666666666
7,-12.414285714285715,6_6_2990 1_3_2990 6_1_2990 4_3_2933 4_0_3281 5_3_2990 2_0_3281 0_4_2990 5_0_7418 0_1_3281 4_3_2990 4_4_2990 4_2_2990 4_1_8865 5_1_2990 1_0_8167 5_1_4825 5_1_3281 5_4_3281 4_3_3942 2_0_4764 2_2_4241 6_2_2990 3_1_3312 5_3_6990 4_3_5219 6_2_7756 4_3_64 0_1_2990 5_6_4825 1_3_3281 5_2_4825 5_5_3281 0_2_3281 6_3_2990 0_3_2990 3_2_3281 4_1_3281 4_1_2990 1_2_5660 6_1_588 2_1_466 4_2_6990 6_1_5660 2_2_1694 6_1_4614 2_1_2309 6_4_3815 6_0_4587 5_1_3334 2_3_1121 6_3_4614 6_3_2309 5_3_1694 4_3_9397 4_3_562,-15.4,-15.063333333333333,-14.481666666666666
8,-12.375308641975309,5_3_2990 1_3_4392 2_0_3281 4_3_5219 5_1_3281 4_5_3281 5_3_3281 3_2_3312 4_1_2990 0_3_2990 4_1_3281 1_1_2990 6_3_2990 6_1_5660 3_6_3281 5_4_3281 0_1_3281 6_0_4587 1_3_3281 4_2_2990 0_6_5021 0_3_64 0_3_260 0_5_2990 0_3_3281 0_2_3281 4_3_2990 3_2_3281 1_3_2990 4_3_741 6_3_5660 6_5_1694 3_4_6660 0_1_3212 4_2_7870 1_0_8971 6_0_9556 6_4_7773 1_0_4587 3_2_1838 1_3_2026 5_1_1694 6_4_1694 1_3_2483 4_2_1569 0_6_6008 1_1_8865 2_6_9529 1_1_4587 2_3_5165 1_5_3312 4_1_1694 5_2_5660 5_4_1694,-15.4,-15.096666666666668,-14.361666666666668
9,-11.789080459770116,6_0_2990 0_3_1850 5_3_3281 5_0_8865 6_1_5660 5_2_3281 6_1_2990 0_2_2990 1_3_1694 1_3_3281 5_0_3281 0_1_3281 1_3_8865 5_1_3845 1_1_8865 5_3_64 1_1_2990 5_4_1694 2_1_2990 2_1_3281 1_6_2990 5_1_3281 5_5_3281 3_0_3281 6_6_2990 0_2_3281 6_3_2990 0_3_2990 4_2_2990 0_3_3281 5_3_2990 4_3_2990 3_2_3281 3_1_5375 1_1_4096 6_5_3182 6_1_2708 2_1_5165 4_3_7317 2_6_8590 3_1_459 5_1_8021 4_5_4250 6_5_4604 6_0_6964 5_1_1675 3_2_8001 4_3_8422 0_2_1780 2_2_7899 4_6_546 3_2_1694 4_1_5025 6_2_2931 6_4_7804 0_3_7471 4_1_7044 1_1_5660,-15.4,-15.096666666666668,-14.413333333333336
10,-12.059259259259258,1_1_2990 3_2_3281 5_0_2990 1_1_8865 0_3_1850 6_4_2990 5_1_2990 3_2_2990 1_3_3281 0_3_3281 2_0_3281 4_1_2990 4_1_3281 3_1_7831 3_1_2931 2_1_2990 0_2_2990 3_1_3281 2_5_2990 0_3_2990 5_1_3281 4_3_2990 3_3_3281 1_6_3281 4_2_9272 1_0_2990 3_3_7317 4_3_8366 0_3_2931 4_2_2990 2_4_2990 0_1_3281 0_2_3281 6_3_2990 5_3_2990 6_6_2931 3_5_1846 1_1_7019 5_0_3292 5_4_1675 3_1_3703 3_3_8868 2_5_5165 5_4_5527 4_3_5484 2_3_8865 1_4_1881 2_1_2705 0_2_7896 6_1_7804 1_2_1196 2_4_5165 6_0_7804 1_2_3340,-15.4,-15.096666666666668,-14.458333333333332
