,ps,link,lig,gen
0,5,6,6286,0
1,0,6,8719,0
2,5,6,407,0
3,5,2,3984,0
4,3,1,2028,0
5,5,4,3814,0
6,3,2,900,0
7,1,3,7323,0
8,1,6,4670,0
9,5,5,9480,0
10,5,5,9533,0
11,5,3,6470,0
12,6,3,7952,0
13,3,3,9295,0
14,4,3,4574,0
15,2,1,4820,0
16,5,1,8189,0
17,1,3,7294,0
18,6,5,3776,0
19,2,4,7536,0
20,3,4,4438,0
21,2,5,830,0
22,2,4,405,0
23,3,2,5361,0
24,1,1,3780,0
25,5,0,8514,0
26,3,0,43,0
27,5,6,4314,0
28,6,0,6475,0
29,1,2,4529,0
30,2,2,5939,0
31,1,3,4177,0
32,6,1,4073,0
33,0,6,7310,0
34,0,5,4643,0
35,1,4,8412,0
36,0,1,1956,0
37,4,5,3685,0
38,2,6,6471,0
39,3,2,1204,0
40,6,4,5945,0
41,6,5,2051,0
42,6,5,776,0
43,2,0,1467,0
44,2,0,3846,0
45,4,2,4860,0
46,4,0,4179,0
47,1,4,2496,0
48,5,5,4867,0
49,2,1,9579,0
0,0,2,2040,99
1,0,2,2040,99
2,6,2,2040,99
3,6,2,2040,99
4,0,0,2040,99
5,0,1,2040,99
6,0,1,2040,99
7,0,2,3281,99
8,0,1,3281,99
9,0,2,3281,99
10,2,2,2040,99
11,2,2,2040,99
12,5,1,642,99
13,3,3,2040,99
14,3,0,2040,99
15,1,1,2040,99
16,6,2,3281,99
17,4,1,2040,99
18,2,1,2040,99
19,6,3,2040,99
20,0,4,2040,99
21,2,0,2040,99
22,0,3,2040,99
23,4,2,520,99
24,0,6,2040,99
25,6,2,8000,99
26,0,3,6906,99
27,1,1,8268,99
28,0,0,8325,99
29,0,1,5361,99
30,0,2,6239,99
31,5,2,9047,99
32,5,0,5359,99
33,5,4,2439,99
34,2,2,6041,99
35,0,0,9533,99
36,2,1,642,99
37,0,2,9218,99
38,5,2,5684,99
39,0,0,2420,99
40,3,2,2895,99
41,6,2,1992,99
42,0,2,6013,99
43,3,4,2040,99
44,0,2,5877,99
45,4,0,9135,99
46,6,2,9120,99
47,6,4,593,99
48,0,0,3688,99
49,1,6,2040,99
