gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.116,1_2_52 5_3_245 1_0_34 0_3_281 2_6_391 0_1_266 4_2_141 6_1_54 2_1_13 2_6_139 1_1_158 2_5_374 6_6_190 0_6_310 2_5_198 4_1_91 1_3_143 0_6_280 6_2_3 2_4_360 4_1_211 3_4_147 3_3_82 1_2_132 6_6_22 5_2_265 4_5_241 5_2_74 5_1_34 3_1_325 5_3_141 1_2_223 5_4_164 5_4_101 2_0_31 5_1_142 6_4_315 6_1_62 2_1_148 3_0_21 2_5_42 2_5_345 2_0_165 2_2_78 6_6_317 5_6_39 2_4_98 6_5_413 0_0_236 6_5_210,-13.14,-12.786666666666665,-12.315
1,-11.223333333333331,5_6_34 6_3_114 0_5_54 5_1_91 2_1_13 5_6_86 2_6_391 1_2_158 0_2_78 5_1_54 3_3_198 5_3_245 2_3_148 4_5_13 0_3_284 6_2_400 6_3_204 5_4_91 6_3_82 0_5_78 2_5_374 2_1_148 6_6_190 1_6_48 4_4_91 2_1_98 2_6_272 5_2_223 5_4_164 0_5_198 0_5_3 2_4_13 1_2_148 0_2_40 0_1_1 5_3_141 3_2_147 6_3_311 1_2_52 5_1_34 1_0_34 1_2_223 6_1_54 6_2_3 4_2_141 2_2_78 6_1_62 5_1_142 3_5_116 0_2_265 5_1_148 6_6_205 4_3_84 6_0_54 ERROR_2_5_338 1_4_187 2_5_82 2_5_23 6_1_177 6_2_276,-13.639999999999997,-13.336666666666664,-12.89166666666667
2,-11.697701149425288,5_1_34 6_4_13 6_2_398 6_6_220 6_2_106 5_4_96 1_2_307 3_1_265 2_1_73 6_2_243 6_6_78 6_3_82 1_2_158 6_5_125 6_3_141 1_1_223 2_3_84 5_4_34 2_2_18 0_2_34 5_2_141 1_2_276 6_2_204 0_5_312 6_2_146 0_1_245 5_2_3 0_2_45 0_2_132 4_2_54 0_2_84 5_3_204 1_2_223 6_1_3 0_2_100 6_2_258 4_3_84 1_2_151 2_1_190 4_4_84 2_2_105 0_2_40 1_2_52 0_2_78 1_0_34 5_2_223 0_3_284 0_1_1 6_1_54 1_5_276 ERROR_3_2_381 4_5_84 0_5_329 2_1_84 5_2_94 2_4_82 6_1_124 5_5_258,-14.16,-13.709999999999999,-13.366666666666665
3,-11.818128654970762,6_4_13 1_2_34 6_2_54 0_2_208 6_2_258 0_4_34 0_1_3 0_2_34 1_4_138 3_1_124 3_1_223 6_4_23 5_1_141 0_6_248 1_2_223 5_2_212 6_2_243 1_4_398 5_6_3 1_0_34 3_1_398 0_5_141 5_1_223 6_2_101 4_2_121 6_1_258 6_2_249 5_5_45 0_1_100 1_1_84 5_2_141 2_2_18 5_1_34 2_2_84 2_0_190 5_2_3 3_1_112 0_6_34 0_6_84 6_4_284 5_4_391 0_0_33 0_2_40 0_2_45 6_2_398 1_2_52 6_2_106 0_2_78 0_2_100 ERROR_0_2_414 5_0_372 6_0_18 1_4_190 6_6_146 4_2_124 5_0_223 5_4_180,-14.16,-13.75,-13.418333333333333
4,-11.7230303030303,2_4_34 1_2_223 5_4_141 1_3_3 0_5_34 1_6_124 5_1_141 4_2_40 2_2_190 0_2_34 0_0_398 6_2_269 1_1_18 0_1_100 0_0_284 0_1_223 6_2_106 6_2_223 1_1_34 1_4_225 5_4_398 0_3_332 0_2_45 5_2_372 5_2_3 4_2_334 5_2_34 1_2_34 5_1_197 0_2_357 6_2_398 1_2_18 1_4_258 0_0_223 0_0_106 5_0_34 0_2_40 1_2_52 0_2_208 0_1_3 5_1_34 ERROR_5_3_402 4_0_372 5_2_90 0_4_190 1_2_190 6_1_141 1_5_407 4_6_154 0_2_190 4_0_32 ERROR_0_4_113 2_4_233 3_1_258 5_4_13,-14.2,-13.833333333333334,-13.508333333333331
5,-12.431638418079098,4_2_34 0_4_34 2_2_45 6_0_317 5_0_270 1_4_398 0_2_344 6_2_34 5_1_18 0_2_34 0_0_258 5_4_380 1_2_223 4_2_128 4_1_40 0_0_223 2_2_52 0_1_97 1_1_18 3_2_166 5_3_225 2_2_216 4_2_292 0_2_295 4_1_208 3_1_106 2_4_34 5_6_398 3_2_248 0_0_382 5_3_372 1_2_208 1_2_93 1_4_201 0_3_223 1_2_398 0_6_28 3_3_18 1_5_359 0_1_34 6_0_34 0_4_40 0_2_235 0_2_40 0_2_45 0_1_223 0_0_398 6_2_398 1_2_52 1_2_34 5_2_34 0_0_106 6_0_88 1_2_372 6_4_353 2_2_208 0_2_160 3_5_223 5_0_288,-14.486666666666668,-14.040000000000001,-13.731666666666666
6,-12.191823899371071,0_2_34 5_2_372 1_1_393 1_4_223 2_3_216 3_6_104 5_2_18 0_6_45 1_4_398 6_6_34 0_1_223 0_2_19 5_1_170 5_2_34 0_1_274 6_0_323 0_1_34 0_2_45 0_2_295 5_2_45 0_2_160 0_2_221 1_3_212 4_2_0 3_1_18 0_2_106 6_2_34 0_1_40 6_0_398 0_0_193 0_4_34 5_1_34 0_2_52 4_2_34 0_3_203 1_3_34 1_2_40 5_1_16 0_3_295 0_4_114 0_1_403 5_2_30 0_2_40 0_0_398 3_1_106 0_2_118 2_2_87 5_0_305 6_1_329 6_1_97 0_2_154 4_2_269 1_4_266,-14.873333333333331,-14.406666666666666,-13.923333333333336
7,-12.661904761904761,0_1_34 4_1_106 3_2_197 3_4_106 0_4_295 0_3_106 0_0_398 0_4_331 6_1_295 0_1_274 0_2_223 0_3_403 5_2_398 0_1_30 0_0_177 1_2_159 2_1_34 5_1_259 0_1_221 0_2_34 0_4_34 0_2_155 3_2_34 0_2_365 0_3_87 0_2_10 6_2_398 6_2_34 6_2_295 5_1_34 0_2_52 3_4_398 0_3_30 1_2_267 2_2_34 6_1_40 5_2_34 0_1_40 0_2_285 0_1_99 0_3_355 3_0_106 0_3_295 0_2_40 0_2_295 0_2_45 0_2_106 0_1_223 3_2_18 5_5_235 5_2_311 6_1_179 0_1_203 2_2_274 0_2_171 6_2_372,-14.953333333333333,-14.606666666666666,-14.176666666666668
8,-12.83157894736842,2_1_339 4_5_34 1_3_106 0_6_34 0_0_295 0_1_40 0_0_106 3_3_106 6_2_40 0_2_398 0_1_106 0_1_99 0_2_34 3_1_34 0_2_344 4_3_78 6_0_299 6_3_106 0_2_106 5_2_398 0_5_249 0_4_172 0_5_52 6_2_34 2_1_93 5_1_310 5_2_34 0_1_45 0_4_241 3_2_106 0_3_398 3_0_106 6_2_18 3_2_105 3_1_278 0_1_203 6_5_40 0_3_278 6_1_52 0_2_40 5_2_164 0_2_30 4_2_223 6_2_52 6_2_295 6_1_106 3_1_295 4_2_34 4_3_268 0_3_295 0_3_106 0_2_295 4_1_106 0_2_45 0_2_52 0_2_10 6_2_30,-14.953333333333333,-14.686666666666667,-14.26
9,-12.34787878787879,0_3_264 0_2_295 5_1_351 0_2_89 0_2_30 6_2_18 0_3_278 6_0_238 0_1_34 3_2_34 0_2_40 0_2_34 0_2_52 1_3_106 0_3_106 0_1_110 4_4_295 0_2_106 0_6_34 5_6_164 6_2_52 0_1_189 4_0_295 5_2_409 5_2_137 4_3_278 1_1_178 0_2_10 6_2_278 4_2_34 1_5_34 0_3_68 2_2_40 0_2_398 0_2_276 3_1_34 4_2_101 2_5_270 0_3_398 1_3_52 4_2_398 0_3_295 0_1_40 4_1_106 0_1_106 0_2_45 ERROR_6_2_384 4_4_165 1_4_309 2_1_140 4_1_140 3_0_30 2_6_164 6_4_45 4_2_380,-14.953333333333333,-14.686666666666667,-14.208333333333334
10,-12.768926553672317,2_3_40 2_2_125 6_2_278 0_2_106 0_4_276 1_2_220 0_0_189 6_2_40 0_5_34 6_1_52 2_3_18 2_2_328 4_5_106 2_2_280 2_2_295 1_5_106 3_2_34 0_2_52 1_1_40 3_4_34 0_3_89 4_4_34 0_3_10 5_3_175 6_2_152 6_2_229 0_1_108 1_2_296 0_1_189 0_2_10 0_2_80 0_2_398 4_2_295 4_2_40 5_2_137 0_1_34 0_5_398 0_1_40 1_1_34 3_1_40 4_0_295 4_1_398 0_3_26 6_5_106 1_3_85 1_6_40 6_3_278 0_3_295 0_3_106 0_2_40 0_2_295 0_3_398 0_2_34 4_1_106 0_1_106 0_2_45 4_2_156 4_1_156 0_5_304,-14.953333333333333,-14.693333333333333,-14.286666666666667
