gen,mean_score,best_5_score,best_10_score,best_20_score
83,-12.347368421052632,-15.566666666666666,-15.303333333333333,-14.571666666666669
84,-12.32873563218391,-15.566666666666666,-15.303333333333333,-14.36
85,-12.355357142857144,-15.566666666666666,-15.303333333333333,-14.539999999999997
86,-12.301785714285714,-15.566666666666666,-15.303333333333333,-14.683333333333332
87,-12.22797619047619,-15.566666666666666,-15.303333333333333,-14.603333333333333
88,-12.801234567901234,-15.566666666666666,-15.303333333333333,-14.584999999999999
89,-12.264814814814814,-15.566666666666666,-15.303333333333333,-14.486666666666668
90,-12.544444444444443,-15.566666666666666,-15.303333333333333,-14.623333333333335
91,-12.147619047619047,-15.566666666666666,-15.303333333333333,-14.470000000000002
92,-12.459393939393937,-15.566666666666666,-15.303333333333333,-14.690000000000001
93,-11.741520467836256,-15.566666666666666,-15.303333333333333,-14.789999999999997
94,-12.41132075471698,-15.566666666666666,-15.303333333333333,-14.61
95,-12.68727272727273,-15.566666666666666,-15.303333333333333,-14.756666666666666
96,-12.912121212121212,-15.566666666666666,-15.303333333333333,-14.666666666666668
97,-11.842372881355933,-15.566666666666666,-15.303333333333333,-14.563333333333333
98,-12.580357142857142,-15.566666666666666,-15.303333333333333,-14.616666666666665
99,-12.335714285714285,-15.566666666666666,-15.303333333333333,-14.444999999999997
