gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.53,0_4_5290 5_4_8245 5_4_6290 5_2_1631 4_3_8025 2_5_2595 6_3_4633 5_6_4644 0_5_3367 6_2_2283 5_5_4532 3_3_4384 5_0_7060 2_3_1446 2_3_4836 1_1_2348 3_3_3449 4_4_1901 4_2_3388 5_3_1446 1_6_4486 0_4_7739 6_6_7158 0_3_5298 1_2_1854 3_5_3848 0_3_4564 3_6_828 2_1_5367 2_5_4688 2_1_5060 4_0_3335 1_4_685 5_3_6185 4_4_3812 6_0_2481 1_6_4021 6_6_6282 2_0_7848 0_1_6069 2_1_2550 2_4_1604 0_2_6451 2_2_631 2_5_6805 5_1_6082 5_0_1915 0_0_5054 6_4_7458 2_5_2309,-12.84,-12.336666666666666,-11.796666666666667
1,-10.649152542372882,2_4_1604 5_3_1446 0_4_3367 2_5_2309 2_4_6069 0_3_4564 2_2_631 0_2_6451 5_0_1915 5_3_6185 6_2_2283 0_0_5054 0_1_6069 1_1_2348 5_4_4216 6_2_7458 6_6_1227 6_0_6460 2_6_6805 2_5_1994 4_5_6185 3_5_3812 1_0_5214 4_3_4411 0_3_1604 2_5_4836 4_5_3812 3_3_8742 5_1_5791 5_5_8245 3_5_4440 5_3_8245 4_3_2283 0_1_3449 6_3_3449 0_2_2086 5_3_1854 6_4_6451 1_4_6515 3_5_6282 4_0_3812 4_4_1515 0_2_6064 0_3_6185 2_5_3848 0_3_1446 5_4_9181 1_0_3335 2_3_5298 1_5_5928 2_3_3196 6_0_847 0_5_8664 6_4_6805 6_3_6185 5_6_3449 3_0_5290 1_2_469 6_4_8245,-13.320000000000002,-12.903333333333332,-12.430000000000001
2,-11.232768361581924,1_0_5214 5_3_1446 0_4_3367 2_5_3848 0_3_4564 4_4_1515 5_4_4216 6_3_3449 2_3_1446 1_2_469 0_2_6064 2_2_631 0_2_6451 0_3_6185 6_2_7458 5_1_5791 0_3_1446 0_1_3449 4_3_7028 3_2_6064 2_4_3848 3_5_1446 0_1_5791 1_2_3196 2_2_5214 0_4_6805 1_4_5928 1_2_8828 4_6_9161 5_0_1446 4_3_473 4_2_3176 5_3_3449 1_4_6451 0_2_3647 0_4_5716 1_2_5214 5_2_875 5_3_5298 1_4_469 3_5_8742 0_2_9007 5_3_8742 1_0_2283 6_3_3196 2_0_6052 6_5_5214 5_2_4550 0_1_2283 5_5_421 2_5_6185 0_0_3812 6_0_2750 5_0_6805 4_4_3367 6_2_6185 1_6_6515 0_2_3559 6_2_6064,-13.679999999999998,-13.346666666666668,-12.868333333333334
3,-11.327586206896552,5_3_3449 0_3_4564 0_0_3812 0_1_5791 4_6_392 5_1_5791 6_2_7458 0_2_8828 0_2_3647 0_2_3559 1_2_469 0_2_6064 2_2_631 0_2_9007 6_2_6064 0_2_6451 4_2_5791 0_6_6064 0_5_7755 2_1_8828 0_3_7968 1_5_4216 6_4_3449 4_1_2283 0_3_8637 1_5_871 4_4_6805 5_3_4528 3_3_1446 0_0_6185 6_5_9065 6_3_473 5_2_4366 4_2_5543 3_4_6064 5_4_1446 4_2_473 3_3_8828 1_4_4216 6_5_5449 5_5_3449 5_1_2283 0_4_6052 4_5_3305 0_4_7028 1_3_2867 1_0_1446 2_4_5482 4_0_473 6_3_4564 5_1_3812 0_6_3141 0_5_3848 5_0_1944 2_2_7458 1_5_8828 3_3_6064 0_2_1106,-13.679999999999998,-13.363333333333333,-12.913333333333336
4,-11.693103448275863,1_3_2867 0_2_5621 0_1_5791 4_2_5791 0_3_4564 3_3_3449 0_2_3647 0_2_3559 1_2_469 0_2_6064 2_2_631 0_2_8828 0_2_9007 6_2_6064 6_1_5791 0_1_2481 6_6_8637 4_2_1446 3_2_3647 0_2_4965 0_0_6451 6_5_1944 0_2_4564 0_6_8637 4_5_5427 3_3_7739 0_2_6185 1_2_6064 1_5_4564 4_3_4528 0_0_7458 1_3_4121 4_2_6805 6_6_6451 0_3_2820 6_0_9125 3_1_3658 0_1_6948 0_3_5536 1_3_3647 4_3_4564 2_5_6451 6_0_6251 2_4_5305 5_1_6185 2_3_7458 2_0_5202 0_6_2867 3_3_2867 0_0_4302 4_2_4528 2_0_5487 2_3_5285 0_2_4986 4_3_8550 6_4_473 5_2_5791 0_1_5149,-13.846666666666668,-13.636666666666665,-13.26
5,-11.747457627118642,0_3_4564 4_2_4528 0_2_6185 5_1_6185 0_1_5791 5_2_5791 6_2_6064 6_3_4564 0_0_5225 2_0_5487 5_1_734 4_3_4528 0_3_342 0_2_2185 0_2_5507 0_1_6948 0_2_4564 0_0_6451 0_2_3647 0_2_4986 0_2_5621 0_2_3559 0_1_2481 1_2_469 0_0_7458 0_2_6064 2_2_631 4_6_8637 0_3_6451 0_2_6948 0_2_8508 2_5_1621 4_3_2867 3_1_3559 0_6_5633 0_6_6640 6_2_4564 2_2_5305 4_2_3647 6_1_4269 0_0_4724 1_5_6064 1_2_4564 5_6_5514 0_1_2026 4_2_4986 5_5_6185 3_1_5427 5_2_8082 6_1_7023 5_2_4916 2_2_4528 0_3_6441 4_4_1687 2_2_3647 4_4_473 0_3_6948 1_1_6064 4_5_6463,-13.846666666666668,-13.636666666666665,-13.173333333333332
6,-11.838418079096044,0_1_5427 4_2_4986 0_3_4564 6_1_5791 6_3_342 6_2_6064 4_2_3647 2_1_5487 6_3_4564 5_3_6185 0_2_4564 4_2_4528 3_2_6064 0_2_3647 0_2_4986 0_2_5621 0_2_3559 0_1_2481 1_2_469 0_0_7458 0_2_6064 2_2_631 3_2_6463 0_2_4528 0_3_8359 3_3_3559 0_6_5427 1_2_4986 3_0_6185 2_3_9284 0_3_7232 4_2_2185 5_3_9343 0_5_4167 5_0_7500 4_1_4528 2_1_5427 0_2_5201 5_0_4225 5_0_7458 3_6_4123 4_6_6463 0_2_4157 4_3_4986 0_1_3559 3_1_1530 0_3_459 1_1_6185 0_1_6905 6_2_9112 3_2_4564 1_2_8558 0_4_2147 2_0_631 1_0_469 2_2_4986 0_3_3559 6_0_8948 0_3_3822,-13.873333333333335,-13.683333333333332,-13.276666666666667
7,-11.563793103448274,0_0_4225 0_3_4564 1_2_4986 1_2_6064 0_0_7458 0_0_4527 0_2_4528 6_3_4564 0_1_5427 2_2_4986 1_3_3822 2_0_631 0_3_3559 0_2_3647 0_2_4986 0_2_5621 0_2_3559 0_1_3559 0_1_2481 1_2_469 0_2_6064 1_1_5224 3_3_3440 2_3_6703 0_2_7232 6_3_2662 5_4_7458 0_0_1652 6_3_3822 0_5_3520 1_2_3647 4_2_6064 0_0_5597 2_1_5356 2_1_4698 0_3_8311 0_3_693 6_2_1660 4_0_5128 4_3_5412 0_0_6486 0_1_9074 0_0_8359 4_0_3647 0_3_5201 4_2_9548 5_0_469 0_1_459 0_2_8558 5_2_4491 5_3_1212 5_0_5166 0_0_4827 0_4_4528 0_3_1833 0_0_4564 0_0_8862 5_3_4225,-13.913333333333332,-13.786666666666665,-13.408333333333335
8,-11.95862068965517,0_2_7236 0_3_1833 6_3_2662 0_0_8862 0_1_5484 0_0_4564 0_3_693 0_2_4528 0_2_4986 1_3_3822 0_2_5621 0_0_4225 0_5_8016 0_3_5201 5_3_4225 0_2_1379 0_5_3520 2_2_4986 0_2_3647 0_0_4527 4_0_3647 0_2_3559 0_1_3559 0_1_2481 0_3_4564 1_2_469 0_6_757 2_3_5201 0_3_2856 0_0_1212 0_0_4528 1_4_5224 3_4_5128 3_1_6120 2_4_7582 5_0_4491 0_6_4564 0_3_1212 0_0_459 0_2_4827 5_1_4491 0_5_1652 0_5_3559 1_0_2837 0_2_8862 1_0_5128 1_0_7458 0_3_5894 0_4_4986 6_4_5128 5_2_7413 4_2_7269 5_2_4564 2_6_3559 1_5_3822 0_2_6815 0_4_4827 3_5_5621,-13.946666666666667,-13.826666666666664,-13.469999999999999
9,-11.831666666666667,0_5_1652 0_1_5894 0_2_1379 1_0_3647 1_0_4225 0_2_367 0_3_1212 0_1_3647 0_2_405 1_0_175 0_0_7458 0_3_165 0_2_3647 0_2_7236 0_0_4527 0_2_4986 4_0_3647 0_2_5621 0_2_3559 0_1_3559 0_1_2481 0_3_4564 0_4_3559 3_2_6120 0_4_5128 0_2_1833 1_6_2346 0_6_2163 2_3_4476 0_0_3655 0_1_5702 0_2_420 3_2_3559 0_0_3559 0_4_5224 4_3_2856 0_2_4758 0_0_7236 3_3_5201 5_5_7458 0_5_8177 5_4_5224 0_6_3559 3_2_9301 0_5_5128 2_3_2935 0_0_1724 0_3_4997 1_0_4528 0_6_1379 1_3_5200 5_1_2481 5_0_7118 1_6_5224 6_6_1526 0_4_7259 0_0_3131 0_1_7458 5_2_6742 3_3_7990,-14.146666666666667,-13.973333333333333,-13.694999999999999
