gen,mean_score,compound,best_5_score,best_10_score,best_20_score
10,-11.805084745762711,0_3_1273 1_3_1273 2_0_8972 3_2_1273 6_0_5049 2_2_3773 0_2_8453 5_4_9329 5_1_8972 2_2_840 5_5_3177 0_2_1273 0_1_7324 5_2_4316 6_2_8972 4_2_8972 0_1_9127 1_4_8972 1_3_8972 0_2_7674 5_2_3177 0_2_9127 0_2_3773 1_2_8972 0_1_1273 0_2_722 5_0_4317 0_3_722 3_2_6305 2_5_918 1_6_139 0_4_3140 4_2_722 0_3_8429 2_6_6855 6_4_9127 0_0_3417 0_6_6561 6_2_8522 6_4_2054 6_2_8352 2_0_9127 2_4_1273 2_0_5912 2_1_918 2_2_1642 0_0_7674 1_6_1273 3_4_1273 1_0_6812 5_4_2054 4_4_1273 0_6_6724 0_0_3773 0_5_3773 6_3_9329 0_4_9329 0_5_1273 5_3_4976,-15.006666666666666,-14.359999999999996,-13.781666666666666
11,-12.10225988700565,0_5_1273 0_3_8972 5_2_8972 0_4_9329 2_1_8972 0_0_1273 0_5_3773 0_3_2012 0_2_8453 0_4_5007 4_4_1273 6_2_8453 4_2_8972 2_1_918 0_2_3417 3_4_1273 6_4_8972 0_2_7674 5_3_9127 5_0_8972 0_1_4540 3_5_8972 1_0_8972 1_4_8972 1_3_8972 5_1_8972 5_2_3177 0_2_9127 0_0_3773 0_2_3773 0_3_1273 1_2_8972 0_6_6960 0_4_1167 2_1_7669 1_0_2381 2_2_1736 6_4_1273 1_2_3773 3_3_1273 0_3_3107 0_4_9127 5_2_8424 0_2_6138 0_6_1273 2_5_1273 4_3_1262 1_0_9329 6_0_7226 0_4_6945 0_0_6812 3_5_6123 6_4_3773 2_6_8522 6_1_1273 0_1_3140 4_5_722 0_5_8453 4_5_3942,-15.006666666666666,-14.379999999999999,-13.746666666666666
12,-12.000555555555556,0_2_8453 5_0_8972 4_3_1262 6_2_8453 0_2_1273 6_4_8972 5_4_9127 0_5_7674 4_6_8972 6_2_3773 1_0_8972 0_2_4668 0_1_1663 2_4_1273 0_4_8972 6_4_3773 5_5_6383 5_2_1324 3_6_1273 5_5_8972 1_2_8972 1_4_8972 1_3_8972 0_2_7674 5_1_8972 5_2_3177 0_2_9127 5_2_8972 0_0_3773 0_2_3773 0_3_1273 2_1_4540 1_3_5599 6_0_6678 1_4_4721 1_4_670 3_5_7674 3_3_8443 0_5_1896 6_2_1273 4_3_6059 0_1_3273 0_2_1197 0_2_8606 4_0_7523 1_2_7777 5_3_3107 0_4_995 0_6_7822 4_6_1273 1_1_5448 3_3_6138 4_3_7340 4_4_8453 0_1_8453 2_0_3773 0_4_771 1_4_7674 1_1_4540 4_4_9329,-15.006666666666666,-14.40333333333333,-13.726666666666668
13,-12.237931034482758,0_6_1273 0_1_8972 4_2_403 6_3_1273 3_5_7674 1_4_8972 2_0_3773 2_0_9127 6_2_1273 0_2_3773 0_5_9247 3_4_1273 0_6_8861 1_4_7674 6_0_1273 5_4_4592 1_2_8972 1_3_8972 0_2_7674 5_1_8972 5_2_3177 0_4_771 0_2_9127 5_2_8972 0_0_3773 6_0_8453 0_2_496 6_2_3614 0_2_3008 0_1_8407 6_2_6059 2_6_4540 4_4_5100 0_2_2170 3_2_7777 2_2_7674 0_0_768 0_2_8443 5_2_7193 2_5_7674 3_2_8537 4_2_3773 1_2_1273 6_5_1896 5_0_3773 4_5_864 6_2_9202 1_1_7081 6_2_668 1_5_7777 3_5_995 2_5_3773 6_3_3773 0_3_8443 0_1_3177 5_0_1929 0_4_1273 5_6_3622,-15.139999999999997,-14.5,-13.858333333333334
14,-11.60960451977401,0_5_1896 0_5_771 6_4_1273 2_1_3773 5_5_8778 6_3_1273 0_1_3177 1_2_8972 0_0_768 6_4_1264 4_4_3514 0_4_771 0_4_8972 0_3_771 2_4_1273 6_4_4811 6_2_1273 3_2_7777 6_1_3489 1_1_8972 6_5_3130 0_0_7674 0_2_3773 4_1_2220 1_4_8972 1_3_8972 0_2_2170 0_2_7674 5_1_8972 5_2_3177 0_2_9127 5_2_8972 0_0_3773 2_5_7777 3_1_8443 0_4_8253 6_3_7521 0_5_9219 6_5_6501 1_0_3773 1_0_5438 1_3_9220 3_2_9283 1_4_1273 2_2_6129 6_5_1273 2_0_6150 3_2_3773 0_1_8443 6_5_6137 5_4_3008 3_0_3773 2_5_7081 2_0_1669 1_1_3177 6_3_1107 1_0_655 4_2_3177 3_3_6303,-15.139999999999997,-14.526666666666667,-13.798333333333332
15,-12.008045977011495,0_1_3177 5_2_3177 0_1_8443 2_0_9127 3_3_8443 0_2_771 5_5_8778 0_5_1896 1_2_8972 6_5_882 0_5_771 2_3_8972 6_4_1273 3_4_8972 6_5_8972 6_5_6448 6_2_1273 3_1_8443 0_6_771 5_2_6339 0_2_7760 6_5_1273 0_4_771 0_3_8972 6_2_8972 3_2_8972 1_4_8972 1_3_8972 0_2_2170 0_2_7674 1_1_8972 5_1_8972 0_2_9127 5_2_8972 4_2_1273 0_5_1567 0_1_2533 6_0_1107 6_2_5015 2_0_6129 1_0_3177 0_4_3489 3_2_7081 0_4_5247 0_2_7777 0_4_3773 3_6_9239 5_5_1605 1_2_655 0_0_9528 1_0_6129 2_1_1896 3_2_6928 2_5_9283 6_4_771 3_0_7674 0_4_1896 0_4_7777,-15.139999999999997,-14.526666666666667,-13.85
16,-12.011494252873565,1_0_3177 5_4_8972 5_2_27 1_2_1273 0_4_8972 6_4_1273 0_0_7674 5_2_8972 6_4_771 1_4_8972 0_5_7674 0_2_771 1_2_3177 0_2_8443 0_4_771 4_3_1331 1_3_8972 0_2_2170 0_2_7674 1_1_8972 5_1_8972 5_2_3177 0_2_9127 5_2_6339 5_5_7935 3_5_6788 0_2_5015 0_2_655 0_1_4652 3_4_771 0_6_2052 1_4_506 0_4_3530 3_4_7777 0_4_8553 0_2_5263 3_5_4003 0_2_4964 4_2_3077 0_5_8778 1_0_5015 1_0_8771 5_5_4379 4_4_49 3_2_3341 5_2_7070 1_1_6519 4_2_7081 0_2_6339 5_2_771 0_1_7760 3_4_8397 4_4_1896 5_1_4588 5_2_5279 1_2_771 5_2_5926 0_4_7366,-15.179999999999998,-14.569999999999999,-13.833333333333332
17,-12.019774011299436,1_5_4983 5_5_3177 1_4_8850 1_0_3177 6_0_6470 4_3_8972 6_4_27 1_2_8972 5_0_8972 1_1_8972 5_2_771 0_2_655 1_6_8972 0_4_8553 0_2_771 0_2_8257 0_3_6339 5_2_8972 0_3_6204 1_4_8972 1_3_8972 0_2_2170 0_2_6339 0_2_7674 5_1_8972 5_2_3177 0_4_771 0_2_9127 6_0_771 3_2_9127 4_3_8778 3_6_3341 0_2_4282 6_1_771 0_0_8553 3_2_655 0_5_5926 1_0_5522 4_2_4964 1_1_9060 4_5_7366 0_4_6464 3_2_771 0_4_1060 1_4_8771 6_2_655 1_2_5015 0_2_9035 6_2_771 1_4_655 0_4_8778 0_2_3177 1_1_5692 5_5_7070 5_4_771 6_3_5926 3_1_4652 1_2_9368 6_6_4832,-15.179999999999998,-14.569999999999999,-13.95
18,-12.053448275862067,6_4_771 1_4_8972 5_2_8972 1_2_771 4_2_6339 1_4_3657 0_0_6898 1_3_4240 1_2_8972 1_3_3774 6_2_771 3_1_8972 0_2_6339 6_0_771 0_1_7087 3_2_771 6_1_8972 0_1_4652 0_5_7674 4_1_6879 1_2_5693 1_3_8972 0_2_2170 0_2_7674 1_1_8972 5_1_8972 5_2_3177 0_4_771 0_2_9127 0_0_9368 4_3_771 2_2_3177 0_2_4047 5_1_9368 6_0_6738 1_2_3164 0_4_4955 0_4_7674 5_5_5116 4_5_5692 3_1_4282 1_5_2987 1_4_9368 4_3_3560 0_4_6204 5_2_1060 2_3_8778 0_3_3654 1_2_9537 6_1_5692 5_3_6339 3_1_4983 4_2_1060 4_6_8257 1_5_3652 6_2_9368 0_3_3177 5_2_8553,-15.179999999999998,-14.603333333333333,-14.010000000000002
19,-12.057062146892658,0_2_771 5_2_8972 0_2_6339 3_1_4983 0_4_3657 5_1_3177 0_4_9127 5_4_8972 0_0_6245 3_2_3012 4_2_7509 0_2_4047 6_2_8972 1_4_3657 2_3_8778 1_6_8972 0_2_8972 1_2_3346 1_3_3821 1_4_8972 1_3_8972 0_2_2170 0_1_7087 0_2_7674 1_1_8972 5_1_8972 5_2_3177 6_1_8972 6_2_8553 3_1_771 0_6_2987 3_0_9368 5_3_8778 4_2_5693 0_5_2987 1_0_8123 0_5_5531 1_2_8553 1_3_8778 1_2_5627 3_1_3657 4_0_4870 3_3_771 5_0_1060 1_4_6339 3_4_8555 1_1_4983 5_5_2831 3_3_5693 1_3_2987 5_5_9368 6_4_9368 4_5_4293 5_6_5115 2_3_4374 0_2_4240 1_4_771 6_2_5693 4_6_6339,-15.366666666666665,-14.716666666666665,-13.971666666666668
20,-11.615517241379312,1_2_8972 4_2_7674 6_2_8553 6_1_610 5_0_8972 3_6_1844 6_4_1484 4_2_6339 6_3_6076 1_4_7615 0_1_3451 1_3_2987 1_1_8972 4_2_5879 5_2_9368 6_2_771 2_2_8972 2_0_498 1_2_8553 6_2_5693 1_4_8972 6_4_9127 0_4_1210 6_4_9183 5_3_5616 4_3_6072 1_3_8972 0_2_8972 0_2_2170 0_2_6339 0_1_7087 0_2_7674 5_1_8972 5_2_3177 1_1_2987 2_2_9368 1_2_4947 0_4_6312 2_5_4374 1_1_8553 6_6_5693 1_1_5627 1_2_6339 0_2_2946 1_3_2862 3_2_6339 6_0_3902 1_5_171 2_3_3514 5_6_4047 2_3_7383 0_2_8778 4_1_6339 3_3_1548 4_4_7674 1_4_3346 6_3_1287 5_3_481,-15.366666666666665,-14.716666666666665,-14.085000000000003
