gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.292666666666667,5_4_6277 6_4_1605 1_6_6726 4_1_4953 1_6_3586 6_0_6318 2_3_3121 2_3_5330 0_2_1716 4_4_1643 0_1_7524 2_1_7469 4_6_1406 6_0_7680 6_2_6471 6_2_2420 0_6_8788 5_6_3260 3_3_4903 1_2_3748 5_3_1824 1_4_4652 4_5_287 1_5_8419 0_0_6709 0_2_2899 2_2_1537 4_2_8357 2_4_6734 1_1_3444 4_2_1995 1_4_2899 3_4_1388 6_6_6135 2_1_625 0_3_6988 5_1_980 0_1_3192 1_2_2404 1_3_8498 4_4_1976 3_4_2785 2_3_4411 1_0_9135 5_5_5958 4_6_9005 4_4_5206 2_6_1001 5_4_7710 3_3_6956,-12.393333333333334,-12.12,-11.739999999999998
1,-10.589655172413794,4_1_6277 0_2_5818 4_4_5206 5_4_7710 4_5_7471 5_6_9005 6_0_5073 0_3_2869 4_0_7157 0_3_3192 5_4_1564 2_0_6277 0_1_3192 2_3_287 4_4_6734 4_4_9005 1_1_3444 1_2_9365 5_4_7232 0_5_3462 3_2_2819 6_5_1605 0_1_7524 2_1_7469 0_0_6709 4_2_8357 1_2_3748 5_1_980 3_3_4903 0_2_2899 6_5_1388 6_2_6277 0_6_1716 5_6_3170 2_5_3121 0_6_7680 1_5_4256 6_1_1532 2_0_980 1_4_3444 1_6_4652 4_4_1716 2_2_1995 4_4_3783 6_4_1406 6_4_9084 6_0_1716 5_3_5330 0_0_8788 1_4_8340 3_4_2404 1_5_2420 0_6_1995 2_3_6395 0_3_8357 5_3_3121 1_1_3586 3_5_287,-12.479999999999999,-12.28,-11.999999999999998
2,-10.940555555555557,6_0_7471 1_5_2420 0_3_287 3_3_4903 2_5_287 4_0_8357 1_1_3192 2_2_287 4_6_4598 5_1_9155 3_1_3192 2_4_7524 4_3_4903 1_4_3444 3_1_4903 0_2_5152 0_1_9450 4_1_1589 4_1_3192 0_1_7275 1_0_3717 2_3_6395 0_1_7524 2_1_7469 4_0_7157 0_0_6709 1_1_3586 0_1_3192 4_2_8357 1_2_3748 5_1_980 0_3_2869 2_3_6006 0_3_4903 2_0_6395 3_3_2869 3_2_3023 6_2_5073 5_1_6811 4_4_3444 1_0_9005 4_3_6734 6_4_7768 2_4_2775 6_3_1995 4_3_6395 5_5_2984 1_5_1497 2_4_419 1_0_9365 2_6_9005 4_0_1716 0_4_3192 6_5_4903 1_5_7461 2_6_4853 5_6_7232 6_4_6277 3_4_8209 2_3_1469,-13.0,-12.656666666666666,-12.308333333333334
3,-11.2183908045977,6_5_4159 5_0_9155 1_0_7157 0_1_5077 1_2_3748 4_1_8067 5_1_9155 4_5_7229 4_3_1497 0_1_7524 0_6_6548 2_1_3444 1_4_3444 1_3_9365 5_1_6811 5_1_8299 1_1_3192 1_1_980 0_4_4596 4_1_7275 0_3_2706 4_0_7275 0_1_7275 0_3_287 0_3_4903 2_1_7469 4_0_7157 0_1_9450 2_3_1469 0_0_6709 2_1_2625 6_2_2394 1_6_4103 2_2_6395 5_1_3748 5_4_980 1_0_7578 0_1_9117 3_2_3748 2_2_5313 0_3_4826 3_1_6734 2_1_9155 4_2_3506 ERROR_3_2_6153 1_0_3269 4_3_8357 3_4_3444 3_5_3586 4_2_6427 5_2_3748 0_5_9252 1_6_6667 1_1_7524 2_0_287 6_6_3444 1_4_7471 6_3_6734,-13.226666666666665,-12.896666666666667,-12.615
4,-11.616666666666667,1_3_287 5_2_2040 5_3_4826 2_1_6196 1_1_3327 4_1_412 5_1_6811 2_1_2625 4_4_4304 4_2_8357 4_2_8509 1_4_7471 4_2_6427 5_1_9155 6_1_8299 1_2_9287 4_1_7229 4_3_6427 0_1_16 0_1_7275 4_1_7275 5_1_8299 0_1_7524 0_3_287 4_5_7229 2_1_3444 0_3_4903 2_1_7469 0_3_4826 6_5_3176 2_6_7275 1_0_7471 0_5_4826 0_1_3444 4_1_9155 2_0_9093 2_0_7420 2_4_3444 4_6_6427 5_4_7220 0_2_2610 4_1_7524 4_3_7275 0_3_7275 2_3_2311 1_3_3086 2_2_5869 4_5_4826 2_4_9155 3_4_6274 1_1_3269 4_0_3269 2_0_2898 3_0_9450 2_1_6811 0_1_5450 6_1_4637 0_6_2706 2_1_1469 3_1_3444,-14.126666666666669,-13.596666666666668,-13.09
5,-11.80225988700565,4_4_3444 0_3_8299 4_6_5377 1_2_9287 1_3_3086 0_2_2040 2_4_6638 5_3_7275 1_1_412 3_6_412 2_1_7229 2_5_174 4_1_412 5_1_3327 0_3_7229 2_4_3444 3_6_7275 5_1_9155 0_1_4826 4_0_3269 4_2_4742 4_3_6427 2_3_2040 5_1_2040 4_2_2040 0_1_412 2_1_6811 2_0_4764 1_0_287 2_1_4903 2_4_3172 2_2_7275 2_0_8357 4_1_7229 5_2_2040 0_1_7275 0_3_7275 0_1_16 4_1_7275 5_1_8299 0_1_7524 0_3_287 1_4_7499 5_1_3269 4_1_5869 4_3_3444 1_3_9287 4_5_8495 5_3_6811 0_3_9155 0_6_9155 1_6_7275 2_2_8299 1_0_3444 0_3_9287 3_5_4826 4_1_8982 1_1_6811 5_1_678,-15.026666666666667,-14.379999999999999,-13.63666666666667
6,-12.162573099415205,2_2_2584 4_3_6724 0_5_7229 5_1_16 5_1_8299 0_1_6350 0_1_2040 2_1_6811 1_5_6437 1_2_4111 2_1_9155 0_1_412 4_1_2040 0_6_5920 1_0_3327 1_1_3444 4_3_2040 0_1_16 5_4_8299 4_2_2040 0_1_7229 4_0_8357 0_3_412 4_1_7229 1_6_7275 0_3_9155 4_3_7275 0_2_4363 5_1_3327 1_0_3444 0_2_2040 5_1_2040 0_3_7229 5_2_2040 0_1_7275 0_3_7275 4_1_412 1_0_6811 4_1_555 1_1_678 5_1_2152 3_5_4742 1_5_7499 1_3_6027 5_6_7275 2_3_9155 5_1_4262 1_0_7078 0_4_7499 5_1_2836 0_0_7152 0_3_9475 6_1_7499 3_6_6811 1_5_9162 2_1_6082 4_3_1529,-15.3,-14.780000000000001,-14.14
7,-12.022839506172842,4_1_2040 0_1_412 0_2_7229 3_2_2040 1_3_6321 6_1_7499 0_1_6350 0_4_2040 0_1_7835 5_1_2836 2_1_2040 4_1_7229 0_1_7229 5_2_2040 1_5_6437 6_1_2040 0_0_6811 2_1_3156 2_2_2040 0_0_7152 5_1_2040 6_2_2040 4_1_7275 1_2_7388 0_3_9155 0_1_2040 0_5_2040 0_2_2040 0_3_7229 0_1_7275 0_3_7275 5_6_6555 1_1_4262 3_0_786 3_0_6082 1_0_2521 5_3_2836 2_1_6027 4_1_3926 0_1_7499 4_4_1602 5_2_2095 2_0_3444 1_0_979 0_3_4262 4_1_678 1_1_5690 3_1_7229 6_4_2833 1_1_6085 4_4_3327 1_2_4205 3_0_6811 0_1_830,-15.719999999999999,-15.16,-14.461666666666668
8,-12.561635220125785,6_2_2040 0_1_7229 4_1_2040 0_3_31 0_3_7229 0_5_2040 6_2_678 6_1_2040 1_1_7931 0_1_7835 4_4_7229 5_5_2040 2_0_2040 0_3_9155 0_2_7229 5_0_958 0_4_8124 4_1_7666 0_1_7275 0_4_2040 1_3_2380 0_5_5708 5_1_2836 4_1_7229 2_1_2040 0_1_8006 5_1_6811 4_2_7229 5_1_2040 6_1_7499 0_2_2040 0_1_2040 2_2_2040 6_3_1725 4_4_3926 2_2_7611 6_3_7152 5_4_7514 4_1_2836 3_4_7229 4_3_6841 6_1_9338 5_1_8519 6_2_1262 0_3_8106 4_1_4082 0_1_3926 6_4_3444 5_1_7152 5_3_7388 0_3_7835 6_0_7229 0_0_2836,-15.719999999999999,-15.190000000000001,-14.325
9,-12.535757575757573,4_1_5142 0_1_7229 6_1_2040 4_1_2040 5_1_8519 0_5_7229 3_1_2040 6_2_2040 2_2_5336 1_1_2040 0_2_2040 5_1_7275 0_3_3860 5_3_2040 5_1_2040 0_1_2040 4_4_6805 6_4_2040 0_0_7229 0_5_2040 4_4_2040 1_0_8300 2_1_7229 0_4_2040 1_2_2569 0_1_8689 2_2_2040 0_2_7229 4_2_7229 0_3_7229 4_1_7229 5_1_7229 0_4_3066 2_2_8218 0_1_8998 2_1_9338 0_6_4750 0_1_2111 6_4_7229 0_1_1093 3_4_9251 4_3_7514 0_2_5192 5_5_783 4_0_5769 0_6_7229 0_3_3524 0_6_7275 0_2_7835 4_1_9338 6_1_5437 4_0_7229 4_3_4867 5_1_4181 0_0_3858,-15.719999999999999,-15.206666666666667,-14.441666666666668
10,-12.423976608187136,6_1_2040 4_4_6805 5_4_2040 0_1_2111 0_5_7275 0_1_2040 6_2_2415 1_1_2040 5_5_249 4_2_6805 0_1_6104 0_3_5095 5_0_2040 0_1_8689 6_4_2040 5_2_7229 1_6_7229 0_1_7229 0_5_7229 0_0_4931 1_0_2077 5_2_2040 0_1_7835 4_1_7229 3_1_1780 4_2_3311 2_2_7229 0_1_2784 0_6_2040 4_1_2040 0_0_5754 6_1_2111 4_0_2040 6_1_6375 0_2_2040 6_2_2040 2_2_2040 5_1_2040 0_2_7229 4_2_7229 0_3_7229 4_2_8413 4_0_3719 0_5_2926 6_1_2358 0_0_5832 0_1_6213 4_1_5835 3_0_5769 4_4_5613 6_3_8516 0_6_2165 4_5_3671 0_5_6027 0_1_5192 0_4_2111 6_1_7319,-15.719999999999999,-15.226666666666665,-14.615
11,-12.373214285714285,4_1_2040 3_4_2040 2_1_7275 4_4_7229 0_1_2040 6_2_7229 2_2_2040 0_0_7229 4_2_7229 6_1_8172 0_0_5754 2_4_2040 0_6_1883 0_5_8696 0_6_2040 0_1_2111 1_4_2040 0_0_2040 5_1_7275 0_4_7229 0_2_2040 0_2_2118 4_2_2040 0_5_6027 1_0_5754 2_4_4276 0_0_7275 6_4_2040 0_5_3412 5_2_8689 0_4_896 6_2_2040 5_1_2040 5_0_2040 1_1_2040 0_2_7229 0_1_7229 0_2_7884 6_1_5253 6_3_2926 0_4_6066 1_5_7151 5_2_4888 6_5_6027 0_2_8689 6_0_8334 0_2_8486 6_4_4409 5_4_1740 4_1_2154 6_6_1118 0_2_8093 4_2_741 4_0_7956 6_5_2926 6_4_3385,-15.866666666666669,-15.34,-14.493333333333334
12,-12.349707602339182,4_2_2040 0_4_7229 0_0_5754 0_2_4595 0_2_7229 0_1_7229 4_4_7229 4_2_3676 0_5_8696 4_3_2040 0_3_7275 4_4_4304 0_2_7275 5_0_2040 3_0_2040 0_1_2111 0_0_7229 0_2_7968 1_0_7275 6_3_2040 3_2_2040 0_0_7275 0_2_2118 0_3_3385 1_1_2040 4_4_2040 0_2_2040 6_2_2040 0_0_2040 0_1_2040 2_2_2040 5_1_2040 4_2_7229 4_4_4409 5_6_8689 5_0_1384 1_3_7229 4_4_6066 0_5_8872 2_1_2111 0_6_945 5_4_1635 0_4_983 0_4_3058 4_2_5537 3_2_7229 0_6_7884 4_1_6169 1_4_7316 0_5_3486 0_0_2111 6_2_8055 4_2_4348 0_0_7079 0_4_8689 1_4_8689 6_3_8689,-15.866666666666669,-15.390000000000004,-14.621666666666666
13,-12.39937106918239,0_0_7229 0_2_2040 0_2_7229 0_5_8872 3_2_7229 2_2_2118 4_3_2040 3_1_7229 5_3_2040 4_3_7275 1_0_7229 3_0_4845 5_0_6530 3_0_2040 0_5_2040 0_2_5537 5_0_2040 0_0_2040 5_1_7275 3_0_349 0_4_2040 0_2_8872 3_4_7375 5_0_9017 0_1_2040 1_1_2040 3_5_2040 6_3_2040 0_3_1275 0_2_4228 5_4_2040 0_5_5412 6_2_2040 2_2_2040 5_1_2040 0_6_5665 6_2_7275 5_0_236 6_5_4747 0_1_8921 0_0_3473 1_1_8530 6_2_6633 4_4_4090 0_0_983 0_1_8872 6_2_2888 0_0_1889 3_0_1517 5_0_7977 0_1_2753 4_2_7968 3_4_7721,-15.866666666666669,-15.390000000000004,-14.461666666666668
14,-12.520754716981134,0_2_2040 2_2_2040 5_2_7229 6_2_2040 5_3_7275 0_0_1763 0_1_2040 0_0_2040 0_1_8872 1_2_2040 5_0_2040 6_0_2040 1_0_2040 2_0_2040 3_1_7229 5_4_2040 5_5_2040 2_2_7185 0_3_8843 3_1_5244 5_1_2040 4_3_2040 2_4_2040 0_1_7229 0_1_9277 4_2_2040 5_0_4179 6_2_4803 5_3_2040 3_6_2040 4_0_4845 2_6_2040 3_0_2040 1_1_2040 0_2_7229 4_2_236 5_1_5929 2_3_1889 0_1_8530 5_0_8812 6_5_1889 5_4_236 6_0_7750 5_3_4789 3_0_7229 0_3_1889 3_1_8921 5_0_2167 0_6_1889 6_5_7229 6_0_4228 0_2_7867 2_2_5084,-15.866666666666669,-15.390000000000004,-14.646666666666667
15,-12.605555555555556,6_0_2040 5_0_8872 1_1_2040 5_4_2040 5_0_2040 0_1_9301 0_3_2040 4_1_2040 0_0_1889 2_1_2040 0_0_2040 4_2_2040 0_1_8872 0_1_3014 1_1_1406 4_1_3253 2_0_2040 1_5_2040 3_2_2040 0_2_2040 6_2_2040 0_0_928 0_6_2040 0_1_2040 0_4_2040 3_3_2040 1_0_2040 6_6_2040 5_2_2040 2_2_2040 3_0_2040 5_1_2040 0_2_7229 0_1_6208 2_0_1073 2_2_4179 6_4_6057 3_5_8872 5_0_7867 0_0_8872 0_4_236 0_0_7867 6_2_7216 2_3_6214 6_3_4803 5_3_7867 0_1_8003 2_5_2503 0_0_3359 5_0_2348 4_5_3886 0_4_3630 2_0_1701 0_0_451,-15.866666666666669,-15.436666666666671,-14.625
16,-12.445283018867926,1_3_2040 0_6_269 6_4_2040 6_3_2040 0_6_2040 5_1_2040 0_3_8003 2_3_6214 5_0_2040 0_1_3162 4_1_2040 0_0_1921 0_5_2040 4_3_2040 1_0_2040 0_2_8872 0_1_2040 2_5_2040 3_1_2040 3_2_2040 0_0_2040 0_4_2040 0_0_4000 6_2_7216 6_2_2040 6_2_3047 3_2_5883 0_2_2040 2_2_2040 3_3_161 3_3_2040 3_0_2040 1_1_2040 0_1_740 0_2_7820 1_1_8872 5_1_6205 2_3_6729 6_1_7216 1_5_1889 0_6_5978 3_0_2348 2_1_4729 0_5_8340 5_0_6412 2_6_8872 0_1_7606 0_5_2348 6_2_3307 1_1_7867 1_0_5485 5_3_7229 2_2_9328,-15.866666666666669,-15.436666666666671,-14.405000000000001
