gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.53,5_4_6290 5_2_1631 4_3_8025 2_5_2595 6_3_4633 5_6_4644 0_5_3367 6_2_2283 5_5_4532 0_4_5290 3_3_4384 5_0_7060 2_3_1446 2_3_4836 1_1_2348 3_3_3449 4_4_1901 4_2_3388 5_3_1446 1_6_4486 0_4_7739 6_6_7158 0_3_5298 1_2_1854 3_5_3848 0_3_4564 3_6_828 2_1_5367 2_5_4688 2_1_5060 4_0_3335 1_4_685 5_3_6185 4_4_3812 6_0_2481 1_6_4021 5_4_8245 6_6_6282 2_0_7848 0_1_6069 2_1_2550 2_4_1604 0_2_6451 2_2_631 2_5_6805 5_1_6082 5_0_1915 0_0_5054 6_4_7458 2_5_2309,-12.84,-12.336666666666666,-11.796666666666667
1,-10.769491525423728,2_5_2309 6_3_2283 1_0_5214 4_2_2309 0_2_2086 4_4_1515 4_2_6064 0_2_2283 2_1_9181 1_3_4384 1_5_5928 5_0_1915 0_0_7458 2_2_469 0_3_4564 2_2_631 0_2_6451 5_3_6185 6_2_2283 5_3_1446 0_0_5054 0_1_6069 1_1_2348 2_1_4216 4_2_8025 5_6_1227 6_2_6460 4_6_8025 2_3_1994 4_5_1915 1_6_5290 3_3_4411 0_2_5298 4_6_1901 3_4_8742 5_4_5791 5_4_2595 2_0_5060 3_6_4440 2_3_5060 4_0_6185 0_1_5290 6_4_5290 2_3_6069 4_3_6451 2_5_6515 3_6_4644 0_2_5290 0_3_1915 2_6_4021 2_2_3388 1_6_1901 0_4_3196 1_2_847 5_5_8664 6_1_3335 6_5_6282 2_1_5054 5_5_5290,-13.7,-13.183333333333332,-12.593333333333334
2,-10.936158192090396,2_2_3388 3_2_3388 3_3_1994 3_3_8828 0_5_3647 3_4_8742 5_0_9181 3_5_2283 6_4_5290 0_1_5054 6_1_3335 2_0_6052 0_3_4564 0_0_6069 2_1_4216 0_0_1446 0_3_1915 0_0_7458 2_2_631 4_2_8025 6_2_6460 0_2_6451 2_2_469 0_2_2283 5_0_1915 2_6_1201 6_2_724 0_0_8968 6_6_5290 5_6_3640 2_3_3335 2_3_5321 0_0_2310 4_2_4564 0_6_9161 4_0_6069 2_1_473 2_3_3176 4_1_4216 1_1_5290 0_3_5716 0_2_2309 3_0_875 2_1_1994 0_0_9007 2_2_5290 2_0_6185 2_5_7458 5_3_1915 5_3_4550 4_2_421 2_5_6069 0_6_2750 1_3_5290 4_4_8742 1_2_2309 0_0_4411 2_0_1915 2_6_4216,-14.006666666666666,-13.473333333333334,-12.8
3,-11.247953216374267,4_1_8742 0_5_7755 2_1_6069 0_2_7968 1_5_8025 6_4_631 4_4_8742 1_3_871 2_2_3388 3_0_6185 0_0_2310 5_3_4550 5_2_4366 2_2_469 4_6_392 6_1_3335 0_3_4564 0_2_1446 0_0_7458 3_2_4564 1_2_8025 6_5_5449 0_0_4411 0_4_5290 4_5_3305 0_2_5290 1_0_6185 0_0_5482 4_3_7458 0_6_3141 5_2_469 0_3_1446 2_0_1106 0_3_1915 5_3_1915 0_5_3647 2_2_631 4_2_8025 6_2_6460 0_2_6451 0_2_724 6_6_1446 4_0_4411 0_1_8637 5_0_4528 4_0_4216 6_3_9065 6_3_7458 4_1_5543 2_3_3388 4_5_8742 0_0_2867 4_3_2310 5_1_4550 6_0_1944 3_3_4564 2_2_9462,-14.006666666666666,-13.6,-13.02
4,-11.538505747126438,6_1_631 0_3_1915 2_2_469 0_3_469 4_5_5427 0_0_7458 0_5_1106 5_0_7458 1_2_5621 2_3_469 4_6_8025 0_1_2820 0_6_3141 1_2_469 0_2_469 0_0_2310 2_4_5305 0_0_5202 3_0_5482 0_2_7458 2_0_5487 2_3_5285 1_2_4986 6_4_5149 5_3_1915 0_3_4564 0_5_3647 0_2_1446 5_2_469 2_2_631 1_2_8025 0_0_2867 6_2_5290 2_4_4216 6_5_1446 0_3_2310 0_6_1915 3_2_7739 1_3_7458 4_3_871 1_0_4121 5_0_9125 3_0_3658 6_4_6948 0_0_5536 0_2_1915 2_5_4216 6_2_6251 5_2_871 2_3_4302 4_0_871 3_0_2867 4_1_8550 5_4_4550 1_6_6185 4_0_7458 2_4_3388 1_2_6185,-14.1,-13.76,-13.356666666666666
5,-11.449382716049383,0_2_871 0_3_1915 0_3_4564 0_2_469 4_3_8550 4_3_469 4_1_4269 6_3_4564 1_6_6185 1_3_7458 1_2_4916 0_2_1446 2_2_7458 1_2_342 2_2_469 4_2_469 0_3_2310 1_5_871 6_4_6948 0_2_5507 5_3_1915 1_2_7458 0_0_7458 1_2_469 0_2_1915 0_2_7458 0_5_3647 0_2_2310 2_0_1621 1_4_6948 1_4_8025 3_1_9125 2_6_5633 1_6_6640 6_3_2310 0_6_4724 6_0_871 0_5_6948 5_5_5514 5_1_5225 5_1_2026 6_4_3388 0_0_1915 4_5_871 0_3_5482 0_3_734 5_4_8082 6_3_7023 1_2_6441 0_3_2185 5_1_1687 4_2_6463 4_4_3388 4_4_2310,-14.133333333333331,-13.796666666666667,-13.143333333333334
6,-11.679166666666669,4_2_1915 3_2_469 6_2_1446 0_0_7458 2_3_9284 2_5_3647 0_3_7232 1_2_6441 1_2_342 0_1_1446 5_3_469 0_4_1530 1_2_7458 3_1_9125 1_2_8558 5_3_1915 0_2_469 0_3_1446 0_2_1915 6_3_3822 0_5_5225 0_3_1915 0_3_2185 0_3_4564 1_2_469 0_2_7458 0_5_3647 6_3_1915 4_1_1915 5_3_4564 6_4_2310 4_2_4269 0_3_9343 4_5_4167 5_1_7500 2_3_7023 0_0_5201 5_2_4225 5_3_2310 6_6_4123 5_6_2026 0_5_4157 0_1_1915 0_3_4269 5_3_459 0_4_6905 2_2_9112 3_3_2185 4_4_2147 0_0_6948 2_1_469 2_2_1915 3_4_6948 6_3_8948 5_1_2907 3_3_5225,-14.133333333333331,-13.813333333333333,-13.448333333333334
7,-11.745402298850575,0_3_4564 0_3_1915 0_6_1915 5_1_4269 0_6_4564 3_1_1530 5_2_7500 0_3_447 3_0_7323 5_3_205 0_5_469 0_0_2310 5_3_469 0_0_4269 0_0_6948 0_3_4157 4_2_9548 0_1_1915 5_1_1446 5_1_4491 5_3_1212 5_0_5166 0_0_4827 0_5_5225 2_3_9284 4_1_4269 0_3_1833 0_0_5225 0_0_8862 0_1_469 0_3_4269 0_1_4564 5_3_1915 0_2_469 0_3_2185 1_2_469 4_1_1915 0_0_7458 0_2_1915 0_2_7458 0_0_7685 3_5_236 5_3_5929 0_0_5271 5_3_7773 2_2_3783 1_5_8558 1_3_9284 5_0_8928 3_2_6948 2_3_2185 0_1_9125 5_1_9074 3_0_1915 6_1_1446 5_2_1530 1_0_2185 0_4_2310,-14.133333333333331,-13.813333333333333,-13.435000000000002
8,-11.943502824858758,0_2_7236 0_6_757 0_2_7458 0_3_2856 2_3_9284 0_0_1212 0_0_7685 4_1_4269 0_3_5484 5_2_1530 5_4_469 0_0_2310 3_4_4564 3_1_6120 2_3_7582 0_6_1915 0_3_1212 0_2_469 0_3_4157 0_1_2310 0_5_4157 1_3_9284 0_5_4564 5_1_469 0_0_5894 0_2_1379 0_0_1915 6_4_4564 5_2_7413 0_2_7269 4_0_8862 3_5_469 4_0_7565 0_3_1915 5_3_1915 0_3_2185 0_3_4564 1_2_469 4_1_1915 0_0_7458 0_2_1915 0_1_469 2_0_8928 0_3_7685 0_3_7500 5_3_447 5_1_1530 5_5_8016 5_3_4269 1_1_2837 0_2_4269 1_1_4564 0_4_8862 2_6_4564 2_2_7500 5_5_447 5_2_6815 0_4_469 2_2_5692,-14.2,-13.86,-13.363333333333333
9,-11.73390804597701,0_4_7458 0_3_4157 0_2_4269 1_1_4564 0_2_469 0_4_469 5_2_7500 0_2_1915 0_1_469 4_0_7458 0_0_1915 5_2_1379 0_6_1915 0_2_367 2_3_2935 0_0_7685 1_6_4269 1_4_469 0_5_405 5_4_469 0_6_469 6_6_1526 0_4_7259 0_0_3131 0_0_175 0_2_1379 0_2_165 0_2_6742 0_3_1915 5_3_1915 0_2_7236 0_3_2185 0_3_4564 1_2_469 4_1_1915 0_0_7458 0_1_589 6_2_445 1_1_5702 0_4_420 3_5_4157 0_0_2185 0_0_4758 1_3_1915 3_1_2837 0_5_8177 5_6_1530 1_4_9301 0_0_4157 0_2_1724 0_2_4997 1_1_9284 5_6_7500 1_0_5200 5_2_7118 0_1_1212 0_3_7990 2_4_469,-14.319999999999999,-13.943333333333333,-13.461666666666664
