gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.53,5_4_6290 5_2_1631 4_3_8025 2_5_2595 6_3_4633 5_6_4644 0_5_3367 6_2_2283 5_5_4532 0_4_5290 3_3_4384 5_0_7060 2_3_1446 2_3_4836 1_1_2348 3_3_3449 4_4_1901 4_2_3388 5_3_1446 1_6_4486 0_4_7739 6_6_7158 0_3_5298 1_2_1854 3_5_3848 0_3_4564 3_6_828 2_1_5367 2_5_4688 2_1_5060 4_0_3335 1_4_685 5_3_6185 4_4_3812 6_0_2481 1_6_4021 5_4_8245 6_6_6282 2_0_7848 0_1_6069 2_1_2550 2_4_1604 0_2_6451 2_2_631 2_5_6805 5_1_6082 5_0_1915 0_0_5054 6_4_7458 2_5_2309,-12.84,-12.336666666666666,-11.796666666666667
1,-10.933908045977011,5_3_6185 5_3_1446 0_5_3367 0_3_4564 2_2_631 0_2_6451 5_0_1915 6_2_2283 0_0_5054 0_1_6069 1_1_2348 5_4_4216 2_2_7848 2_6_4644 0_5_1227 6_4_6460 2_6_7848 2_0_1994 4_5_6451 0_4_4384 1_0_5214 5_3_4411 1_2_4532 1_3_1854 4_4_8025 3_3_8742 2_3_5791 6_4_6805 5_5_6290 3_5_4440 5_3_6290 4_2_1915 0_1_4633 6_3_4384 2_2_2086 2_0_631 2_6_6515 3_4_3367 3_4_4384 4_3_1515 1_2_6064 0_3_6451 2_4_5290 0_3_6185 5_4_9181 1_0_7060 5_2_1854 1_5_5928 0_3_3196 0_0_847 6_5_8664 6_4_4688 2_4_2283 5_2_6451 2_5_4633 3_0_4688 2_2_469 2_0_6290,-13.220000000000002,-12.91,-12.448333333333334
2,-11.657471264367816,0_3_6451 2_3_5791 2_2_469 1_2_1854 1_3_1854 0_3_4384 0_3_4564 2_4_2283 0_1_6069 5_4_9181 4_2_1915 2_2_631 1_2_4532 0_2_6451 0_3_6185 2_0_631 1_2_6064 5_0_1915 4_3_7028 3_2_1915 3_5_4633 0_1_469 1_2_4633 2_2_5791 0_4_4216 6_1_6460 6_2_8828 5_6_9161 0_0_4633 1_1_473 0_2_3176 0_4_9181 0_2_3647 0_4_5716 1_2_9181 2_2_875 5_0_1854 1_5_4564 3_5_4384 4_2_9007 2_3_6064 5_5_4633 2_0_6052 1_5_5791 5_2_4550 0_3_1446 0_3_421 2_5_631 1_0_5054 5_0_2750 0_3_4633 0_3_4216 4_3_1854 1_4_9181 0_2_631 1_0_1915 1_6_5928 0_2_3559,-13.9,-13.533333333333335,-13.056666666666667
3,-11.373809523809525,6_1_6460 1_0_1915 2_2_631 0_2_3647 0_1_469 4_6_392 1_2_9181 0_3_1446 4_2_9007 2_2_469 2_6_3141 5_2_4550 0_2_1446 0_2_631 0_2_3559 0_3_4564 4_2_1915 1_2_4532 3_2_1915 2_3_469 4_6_1446 0_5_7755 2_1_4550 0_2_7968 2_5_1854 6_4_1915 4_2_469 0_2_8637 1_3_871 2_0_4528 3_2_4532 6_3_9065 6_3_9007 5_2_4366 1_1_9181 0_2_4550 2_3_5543 0_3_9181 3_2_4550 2_0_1854 6_5_5449 6_5_6460 0_4_1854 4_5_3305 0_0_6064 1_0_2867 1_0_4532 0_0_5482 4_4_9007 5_3_3647 5_1_1915 1_1_469 0_3_5791 1_4_1944 4_3_1106 0_4_9462,-14.066666666666668,-13.706666666666667,-13.303333333333333
4,-11.816666666666666,4_3_1106 0_3_5791 0_2_8637 0_3_4564 1_1_469 0_3_3647 0_2_5621 0_2_3559 0_2_631 2_5_631 1_3_871 0_1_3647 0_2_1446 0_3_9181 0_2_3647 0_1_469 4_2_1915 2_2_631 1_2_9181 0_2_3682 0_5_469 2_3_631 5_5_469 0_2_4532 1_6_6064 4_5_5427 3_4_7739 0_5_9181 0_0_1446 1_5_4121 2_6_6460 0_2_2820 2_2_9125 3_1_3658 1_2_6948 0_3_5536 0_2_5791 1_3_631 4_1_469 5_2_6251 2_4_5305 2_0_3647 0_0_5202 4_6_4564 3_3_1106 1_3_4302 3_5_6460 2_0_5487 2_3_5285 6_5_4986 4_2_8550 2_4_631 0_2_469 1_2_5149 4_6_1106 0_3_631,-14.333333333333334,-14.056666666666667,-13.711666666666668
5,-12.124242424242425,2_2_167 0_2_631 1_5_292 0_5_469 0_2_469 0_5_9181 0_2_3559 0_2_3647 1_1_469 3_1_3658 0_3_631 0_1_469 4_2_469 0_3_5849 5_4_9181 0_3_3647 0_1_5507 0_2_5791 0_2_1446 0_1_3647 0_3_9181 0_2_3682 0_2_5621 0_2_4532 4_1_9181 6_5_4243 2_2_3696 4_0_8830 1_3_6668 0_3_3658 1_4_7852 6_0_5487 5_1_2115 3_3_2534 0_3_2423 2_5_5791 1_2_63 0_2_9181 4_2_1312 0_2_944 1_2_1915 6_2_3647 5_2_631 1_3_1519 0_4_631 0_1_4564 0_0_5487 0_1_3559 3_2_2973 4_2_3834 0_0_1142 4_3_6463 4_2_631 4_3_631 4_4_631,-14.420000000000002,-14.223333333333334,-13.929999999999998
6,-12.245238095238095,4_2_631 0_2_3682 0_3_3647 0_2_1446 4_2_469 0_1_3559 5_2_631 0_2_3559 2_2_631 0_4_631 6_2_3647 0_1_3647 0_2_631 4_1_9181 0_2_9181 0_3_9181 0_2_3647 3_2_469 0_1_631 6_2_3559 0_0_5791 6_1_2115 2_3_9284 0_3_7232 0_2_9343 0_5_4167 5_3_7500 2_1_5507 0_2_5201 5_1_4225 5_0_5487 0_6_4123 4_6_631 0_3_4157 4_1_631 6_3_469 0_3_3559 0_4_1530 0_2_459 1_2_5791 0_1_6905 0_1_3658 0_2_9112 3_2_9181 1_2_8558 0_4_2147 0_1_9181 2_0_3696 0_3_469 0_3_5621 4_0_8948 0_3_3822 4_3_2907 0_0_3647 3_1_631 0_5_3647,-14.420000000000002,-14.286666666666667,-13.945000000000002
7,-12.26666666666667,0_1_6744 5_2_631 0_4_631 5_3_205 0_2_631 6_2_3559 0_2_3647 0_1_3647 0_0_5791 0_2_3682 0_2_5201 0_2_3559 4_1_9181 0_0_3647 2_0_3647 0_2_9181 0_3_9181 0_1_631 4_2_631 0_1_9181 0_2_2179 6_5_236 5_5_5929 0_3_5271 4_2_7773 3_2_3682 0_3_447 0_2_3783 3_2_7323 1_1_3682 5_5_8928 0_0_3559 2_2_3559 5_2_3647 4_1_9074 4_0_631 4_0_9181 4_3_9181 4_2_9548 6_0_3647 4_2_3682 5_2_4491 5_3_1212 5_0_5166 0_0_4827 0_1_1530 1_5_9181 0_4_3559 0_2_1833 0_0_8862 5_2_7500 4_1_3647 4_2_3559 6_2_8163 0_4_2474,-14.446666666666667,-14.326666666666664,-13.931666666666668
8,-12.15263157894737,4_2_3682 0_2_5484 0_3_9181 0_4_631 4_0_9181 0_2_1833 4_3_9181 0_0_3682 0_2_2179 0_2_9181 0_3_5271 5_1_205 0_5_8016 0_5_9181 0_2_3559 1_2_5201 0_2_1379 0_2_631 0_1_9181 0_4_9181 0_1_3647 4_1_9181 4_1_3647 0_1_631 0_2_3682 0_2_3647 4_2_631 0_3_6166 5_2_5201 3_2_631 3_4_9181 3_1_6120 2_1_7582 0_0_631 4_6_3559 0_1_8862 6_1_3647 5_2_3682 1_2_2837 0_2_5894 6_4_9181 5_2_7413 4_2_7269 0_2_4827 2_6_3559 2_2_8862 6_5_3647 0_2_6815 0_4_2179 3_5_9181 4_0_7565 2_1_5692 3_0_2069 0_6_3647 3_1_9022 0_5_3294 4_3_3559,-14.446666666666667,-14.326666666666664,-13.886666666666665
9,-12.414545454545452,0_4_3647 2_2_7413 0_2_9181 0_2_2179 4_2_7269 0_2_631 0_2_3559 0_0_3647 0_1_8862 0_2_3682 0_1_129 0_1_9181 4_3_9181 0_0_631 0_3_9181 6_4_9181 0_1_3647 4_1_9181 4_1_3647 0_1_631 0_2_3647 4_2_631 3_0_3647 6_1_1833 3_2_3647 0_0_2725 4_4_9181 3_1_7036 2_4_7413 3_1_3559 3_2_1379 0_1_4484 4_6_9181 4_0_1833 6_1_9181 6_2_9181 2_1_4170 6_1_1177 0_3_4111 3_4_3647 2_2_3065 0_5_7825 0_1_6494 6_1_8983 4_2_9181 0_1_4827 5_3_7413 5_2_3559 0_3_2268 5_2_1291 0_0_6007 0_5_7217 1_1_784 6_3_5008 1_2_3647,-14.446666666666667,-14.326666666666664,-13.908333333333335
