gen,mean_score,compound,best_5_score,best_10_score,best_20_score
10,-12.388888888888891,2_3_117 4_4_40 0_2_28 6_3_40 0_6_178 0_6_40 0_0_298 0_3_49 2_3_40 5_2_40 0_3_40 5_5_40 6_3_105 0_4_40 2_5_119 6_3_223 4_0_119 5_1_40 0_3_286 6_6_40 0_3_110 6_2_40 2_3_119 0_0_40 0_2_40 2_0_40 4_5_40 4_2_175 0_0_138 2_1_40 0_1_40 0_4_75 3_1_40 0_5_40 3_0_40 6_3_310 2_0_345 4_4_93 3_2_137,-14.9,-14.273333333333335,-13.62166666666667
11,-11.842424242424244,0_3_40 2_2_40 3_2_380 6_3_40 2_3_40 0_3_124 0_3_59 0_4_40 2_0_40 3_1_40 5_3_192 0_3_138 0_3_24 6_5_47 5_2_140 4_1_40 0_2_337 1_3_40 0_3_332 0_3_75 0_0_123 1_0_40 4_2_40 6_6_40 4_3_40 5_1_109 0_2_242 0_4_179 ERROR_0_5_385 0_6_110 2_3_286 3_1_181 2_1_325,-14.633333333333335,-13.823333333333334,-13.191666666666666
12,-12.26764705882353,0_3_24 2_3_40 0_3_88 6_3_40 0_3_40 0_5_46 3_3_59 4_3_40 5_3_40 4_3_38 0_3_389 6_3_246 0_4_40 1_3_40 0_2_40 0_4_124 4_2_270 0_1_387 0_3_112 0_3_11 3_2_24 0_3_146 3_3_374 0_3_27 6_2_40 6_3_75 0_6_40 0_3_339 4_4_76 2_3_57 2_2_40 ERROR_0_3_347 0_2_93 2_0_286,-15.066666666666666,-14.353333333333335,-13.643333333333334
13,-11.684313725490195,0_4_339 6_3_40 5_5_40 1_1_82 1_3_401 2_2_40 2_3_40 0_3_24 6_2_40 0_3_40 5_4_94 5_6_40 4_3_235 3_3_57 0_0_40 0_5_40 0_3_88 1_2_145 5_1_40 0_3_82 0_3_15 0_1_24 0_1_205 0_2_325 1_3_40 6_6_40 0_3_186 2_4_40 5_3_88 ERROR_0_6_384 2_3_55 2_6_290 2_2_96 5_6_57,-14.7,-14.013333333333332,-13.218333333333334
14,-11.895,0_1_339 0_5_40 0_5_295 4_4_24 0_3_47 0_3_142 0_3_16 0_4_13 0_1_40 0_3_94 0_5_353 0_3_40 2_3_361 5_4_40 2_2_40 0_4_94 2_3_40 3_3_40 ERROR_6_0_402 0_3_15 0_1_15 2_2_332 0_3_150 0_0_40 6_3_40 0_3_57 2_4_40 0_2_3 1_3_40 6_3_348 2_3_233 0_3_167 0_3_398 3_0_40 4_3_24 0_3_325 1_1_40 5_3_57 5_0_231 ERROR_0_3_354,-14.926666666666668,-14.59666666666667,-13.766666666666666
15,-11.474418604651163,6_3_387 0_5_40 1_6_40 0_2_40 0_3_40 0_3_401 0_3_193 0_3_398 0_1_339 1_3_40 3_1_40 1_3_2 0_6_13 2_3_218 3_3_356 2_3_76 3_3_226 4_4_12 4_3_217 0_6_15 5_0_40 0_4_40 2_4_40 2_3_409 4_1_40 0_3_16 0_4_325 4_5_40 1_5_317 0_3_92 6_5_373 2_5_40 4_3_398 0_0_282 6_3_181 0_3_15 3_5_40 3_0_210 0_5_69 3_0_374 0_0_257 3_5_370 3_0_57,-14.893333333333334,-14.013333333333335,-13.273333333333332
16,-11.885714285714286,0_3_40 0_3_398 2_1_218 2_3_40 0_3_61 1_3_81 0_3_361 0_4_195 0_4_69 5_4_40 4_4_40 0_0_30 6_3_396 2_6_409 2_1_40 0_3_160 0_3_153 1_1_40 0_6_40 0_0_15 0_6_325 4_3_322 2_1_296 0_3_173 0_1_40 5_0_40 4_3_392 0_3_69 0_3_230 0_3_346 0_3_193 0_0_16 3_3_40 6_1_40 0_3_324 0_3_152 3_0_203 6_3_71 6_3_218 1_4_409 0_1_310 ERROR_0_6_415,-14.753333333333336,-14.096666666666668,-13.421666666666663
17,-12.102857142857141,3_3_398 2_3_69 6_3_40 3_3_40 0_4_398 0_3_40 3_3_68 0_4_69 0_4_40 0_2_398 0_3_198 0_3_260 2_3_40 0_3_131 0_6_398 6_2_40 6_1_398 1_3_224 0_4_263 1_3_7 0_3_30 0_3_220 0_1_114 0_3_285 0_3_134 0_1_40 4_3_40 1_3_173 4_4_40 0_0_40 1_0_398 3_5_40 0_3_398 2_6_40 ERROR_0_3_236,-14.84,-14.316666666666666,-13.669999999999998
18,-12.422857142857143,0_0_40 6_4_40 0_3_40 0_6_127 0_3_220 3_0_40 0_1_40 6_1_312 0_4_69 6_3_117 0_0_398 1_2_352 6_3_40 1_3_40 4_3_21 0_5_169 4_3_151 3_1_398 6_3_277 0_2_40 6_5_40 0_6_40 3_3_287 0_3_285 0_1_327 3_0_131 1_3_270 6_6_40 6_3_187 0_3_334 5_4_40 0_3_396 5_0_40 1_4_398 6_3_69,-15.006666666666666,-14.336666666666664,-13.4
19,-12.13063063063063,6_3_40 1_3_131 0_2_252 0_3_40 5_3_40 0_3_202 5_2_40 0_0_40 0_1_40 2_2_83 0_3_288 6_0_198 0_3_117 4_1_40 0_3_269 6_3_69 0_2_374 6_3_109 1_3_398 1_3_40 4_2_40 0_4_344 6_4_40 0_0_398 0_6_40 3_3_217 4_3_376 0_2_398 2_5_40 0_0_69 0_3_50 1_3_270 3_2_37 0_4_103 0_6_224 6_6_267 ERROR_6_3_385,-15.013333333333335,-14.446666666666667,-13.623333333333331
20,-12.26875,5_2_163 2_5_213 5_3_202 6_3_40 1_3_40 0_3_40 0_3_292 5_3_40 0_0_40 0_3_11 0_1_79 0_2_40 4_3_40 3_3_40 0_2_269 2_2_40 0_0_374 5_2_83 0_6_53 0_1_0 0_0_276 0_1_40 1_3_66 6_1_308 0_3_105 5_5_83 0_2_374 0_5_83 0_3_202 0_3_148 2_4_356 5_4_246,-15.066666666666666,-14.35,-13.455000000000002
21,-11.365811965811966,0_1_269 3_1_124 0_5_88 6_1_292 6_4_40 0_3_40 0_4_40 5_5_11 0_3_105 5_2_40 2_3_40 0_3_58 1_2_269 6_3_40 4_3_28 1_3_162 0_6_40 6_2_32 6_3_363 0_2_324 5_0_370 3_3_40 5_5_40 0_1_292 4_3_232 0_1_148 6_1_202 0_2_317 3_3_380 0_3_234 0_0_40 5_2_374 0_1_308 2_6_23 0_1_406 3_4_255 ERROR_0_4_199 ERROR_0_3_338 3_5_17,-14.546666666666667,-14.053333333333333,-13.296666666666663
22,-11.52,2_3_137 1_3_232 5_3_374 0_3_9 0_3_40 3_0_40 2_3_40 0_4_40 0_1_265 1_3_76 0_3_124 3_3_40 1_2_324 5_1_40 0_3_148 6_2_32 0_5_40 0_1_40 0_2_179 0_2_40 0_0_40 5_0_374 5_1_164 0_3_211 6_4_262 0_3_105 ERROR_0_3_113 1_3_153 0_1_105 0_1_60 6_3_32 0_1_300 3_3_242 ERROR_0_3_338 3_3_17 ERROR_0_2_366 6_4_374 2_4_379 4_1_379 6_5_374,-14.726666666666668,-14.163333333333332,-13.456666666666667
23,-12.267543859649123,0_1_40 5_4_40 0_1_105 0_4_40 0_2_40 0_3_40 2_3_40 3_3_232 0_4_55 4_3_181 2_2_40 0_3_148 6_0_75 0_0_67 0_3_124 6_4_32 5_3_25 5_3_323 0_6_362 4_3_40 0_0_387 0_5_392 0_1_62 0_3_259 5_3_374 3_4_374 3_3_40 0_1_127 0_3_321 0_3_21 0_5_90 3_1_40 3_0_40 0_2_250 3_0_148 5_2_179 2_3_280 3_2_32,-14.666666666666668,-14.013333333333332,-13.286666666666667
24,-11.882499999999999,5_0_232 3_1_40 2_2_40 0_3_40 0_1_148 6_4_33 2_3_32 5_4_215 2_3_45 5_3_40 6_3_40 1_1_58 0_4_288 0_3_8 3_3_125 1_5_216 0_3_271 2_5_40 5_3_374 3_3_232 0_3_165 0_3_216 6_2_40 4_2_179 0_4_60 0_2_40 0_2_148 0_5_111 1_2_148 5_6_40 0_6_191 2_3_40 6_4_192 6_4_32 5_3_98 1_3_253 0_4_62 0_2_67 0_0_321 ERROR_6_3_236,-14.98,-14.226666666666668,-13.455000000000002
25,-11.687596899224808,6_1_40 2_3_40 0_3_40 6_6_40 0_0_40 4_6_179 5_3_40 5_2_40 2_1_396 5_3_374 0_3_83 5_2_158 5_3_232 0_1_216 3_3_400 0_3_165 3_4_71 6_3_67 5_3_318 3_3_81 0_3_206 0_4_40 4_1_40 0_1_40 5_1_40 6_0_281 0_2_136 0_3_321 0_3_213 6_2_40 0_3_148 3_5_40 4_3_216 4_3_40 0_3_288 4_3_165 6_3_15 0_4_50 4_3_321 5_3_154 ERROR_0_1_113 2_2_216 4_4_62,-14.960000000000003,-14.326666666666668,-13.581666666666669
